Skater,Element #,Element,Base Value,Final Score,GOE
Deniss VASILJEVS,10,FCCoSp4,3.5,4.75,1.25
Deniss VASILJEVS,11,FSSp4,3.0,3.94,0.94
Deniss VASILJEVS,12,ChSq1,3.0,4.71,1.71
Deniss VASILJEVS,2,3Lz+3T,10.1,11.79,1.69
Deniss VASILJEVS,3,3A+2A+SEQ,11.3,11.99,0.69
Deniss VASILJEVS,4,3F,5.3,6.44,1.14
Deniss VASILJEVS,5,CCoSp4,3.5,4.45,0.95
Deniss VASILJEVS,6,StSq3,3.3,4.05,0.75
Donovan CARRILLO,1,S,0.0,0.0,0.0
Donovan CARRILLO,10,StSq2,2.6,2.97,0.37
Donovan CARRILLO,11,CCoSp3,3.0,3.17,0.17
Donovan CARRILLO,12,CSSp3,2.6,2.71,0.11
Donovan CARRILLO,3,3Lo,4.9,4.97,0.07
Donovan CARRILLO,5,FCSp3,2.8,2.72,-0.08
Donovan CARRILLO,8,ChSq1,3.0,3.07,0.07
Francois PITOT,1,2S,1.3,1.36,0.06
Francois PITOT,10,StSq2,2.6,3.16,0.56
Francois PITOT,12,CSSp3,2.6,2.67,0.07
Francois PITOT,2,3F,5.3,6.21,0.91
Francois PITOT,3,3A+2T,9.3,10.56,1.26
Francois PITOT,4,FCSp4,3.2,3.75,0.55
Francois PITOT,5,CCoSp3V,2.25,2.64,0.39
Francois PITOT,6,ChSq1,3.0,3.29,0.29
Francois PITOT,7,3A,8.0,9.49,1.49
Ilia MALININ,1,4F,11.0,15.24,4.24
Ilia MALININ,10,StSq4,3.9,5.07,1.17
Ilia MALININ,11,ChSq1,3.0,5.14,2.14
Ilia MALININ,12,FSSp4,3.0,3.77,0.77
Ilia MALININ,2,3A,8.0,10.4,2.4
Ilia MALININ,3,4Lz,11.5,14.13,2.63
Ilia MALININ,4,2Lo,1.7,1.72,0.02
Ilia MALININ,5,CCoSp4,3.5,4.2,0.7
Ilia MALININ,9,CCSp3,2.8,3.32,0.52
Kao MIURA,1,3A+1Eu+3S,12.8,14.86,2.06
Kao MIURA,11,CSSp3,2.6,3.16,0.56
Kao MIURA,12,CCoSp3,3.0,3.94,0.94
Kao MIURA,2,4S,9.7,11.09,1.39
Kao MIURA,4,FCSp4,3.2,3.75,0.55
Kao MIURA,6,StSq2,2.6,3.16,0.56
Kao MIURA,9,ChSq1,3.0,4.64,1.64
Kevin AYMOZ,1,4T+2T,10.8,13.24,2.44
Kevin AYMOZ,10,CCSp4,3.2,4.21,1.01
Kevin AYMOZ,11,ChSq1,3.0,5.21,2.21
Kevin AYMOZ,12,CCoSp4,3.5,4.65,1.15
Kevin AYMOZ,2,4T,9.5,12.08,2.58
Kevin AYMOZ,3,3Lz,5.9,7.5,1.6
Kevin AYMOZ,4,3A+2A+SEQ,11.3,13.81,2.51
Kevin AYMOZ,5,FCCoSp4,3.5,4.5,1.0
Kevin AYMOZ,6,StSq3,3.3,4.57,1.27
Koshiro SHIMADA,1,S,0.0,0.0,0.0
Koshiro SHIMADA,10,CSSp2,2.3,2.6,0.3
Koshiro SHIMADA,11,ChSq1,3.0,4.07,1.07
Koshiro SHIMADA,12,FCSp3,2.8,3.32,0.52
