Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Kevin AYMOZ,Composition,9.0,9.0,9.25,8.5,9.0,9.5,9.25,9.5,9.5,9.21
Kevin AYMOZ,Presentation,9.25,9.0,9.5,8.75,9.5,9.25,9.5,9.5,9.5,9.36
Kevin AYMOZ,Skating Skills,9.0,8.75,9.25,9.0,9.5,8.75,8.75,9.0,9.5,9.04
Ilia MALININ,Composition,8.75,8.75,8.75,8.75,8.75,9.0,9.5,9.0,8.75,8.82
Ilia MALININ,Presentation,8.5,8.5,9.0,8.75,8.75,9.25,9.5,9.25,8.75,8.89
Ilia MALININ,Skating Skills,8.5,8.75,8.75,9.0,8.5,9.0,9.0,9.25,8.5,8.79
Kao MIURA,Composition,8.5,8.5,8.5,7.75,8.5,8.0,8.5,8.75,8.75,8.46
Kao MIURA,Presentation,8.5,8.25,8.5,7.75,8.75,8.25,8.5,8.5,8.5,8.43
Kao MIURA,Skating Skills,8.75,8.75,8.75,8.75,8.75,9.0,8.25,8.5,8.75,8.71
Nika EGADZE,Composition,8.0,7.75,7.5,8.25,7.75,7.75,8.25,8.0,7.25,7.86
Nika EGADZE,Presentation,8.0,7.5,7.5,8.5,7.5,7.5,7.75,7.75,7.0,7.64
Nika EGADZE,Skating Skills,8.25,7.75,7.75,8.75,7.5,7.75,7.75,7.75,7.75,7.82
Deniss VASILJEVS,Composition,8.75,7.75,8.0,9.0,7.5,8.25,8.25,8.0,8.0,8.14
Deniss VASILJEVS,Presentation,8.5,8.0,8.25,9.25,8.25,8.5,8.5,8.5,7.75,8.36
Deniss VASILJEVS,Skating Skills,8.5,7.5,8.0,9.25,8.0,7.75,8.0,8.25,7.75,8.04
Francois PITOT,Composition,7.5,6.75,7.0,7.0,7.0,7.75,7.25,7.25,7.5,7.21
Francois PITOT,Presentation,7.25,7.0,7.0,7.25,7.0,7.5,7.0,6.5,7.25,7.11
Francois PITOT,Skating Skills,7.25,6.75,7.25,7.0,7.25,7.25,7.25,7.25,7.75,7.21
Maxim NAUMOV,Composition,7.0,7.75,6.75,6.5,6.5,7.25,6.5,7.0,7.25,6.89
Maxim NAUMOV,Presentation,7.25,7.5,6.5,6.75,6.75,7.75,7.5,7.5,7.25,7.21
Maxim NAUMOV,Skating Skills,7.25,7.25,6.75,7.0,7.25,7.5,7.25,7.0,7.0,7.14
Lucas BROUSSARD,Composition,7.25,7.5,7.5,7.0,7.5,8.0,7.5,7.75,7.25,7.46
Lucas BROUSSARD,Presentation,7.25,7.25,7.25,7.25,7.25,7.5,7.5,7.5,7.25,7.32
Lucas BROUSSARD,Skating Skills,7.5,7.5,7.25,6.75,7.25,7.5,7.25,7.75,7.5,7.39
Wesley CHIU,Composition,6.75,6.25,6.75,6.75,6.75,6.0,6.75,7.0,6.75,6.68
Wesley CHIU,Presentation,6.75,6.0,6.75,6.75,7.0,6.5,7.0,6.5,6.5,6.68
Wesley CHIU,Skating Skills,7.25,6.75,7.0,7.5,6.75,7.0,7.25,7.25,7.5,7.14
Koshiro SHIMADA,Composition,7.5,7.5,7.5,7.5,7.5,7.25,7.75,7.25,7.5,7.46
Koshiro SHIMADA,Presentation,7.25,6.75,7.5,7.0,7.5,6.75,7.0,7.25,7.25,7.14
Koshiro SHIMADA,Skating Skills,7.5,7.0,7.75,7.75,7.75,7.5,7.25,7.5,7.5,7.54
Nozomu YOSHIOKA,Composition,6.5,6.5,7.0,7.25,7.0,7.0,7.75,7.5,7.0,7.04
Nozomu YOSHIOKA,Presentation,6.75,6.5,7.25,7.0,6.75,6.75,7.25,7.25,6.75,6.93
Nozomu YOSHIOKA,Skating Skills,7.25,6.75,7.25,7.0,7.25,7.5,7.5,7.5,7.0,7.25
Donovan CARRILLO,Composition,6.75,7.25,7.0,7.0,6.5,7.0,7.0,6.75,7.0,6.93
Donovan CARRILLO,Presentation,7.0,7.0,7.25,7.0,7.0,7.25,7.25,7.0,7.5,7.11
Donovan CARRILLO,Skating Skills,7.0,6.75,7.0,6.5,7.25,7.25,6.75,6.75,7.25,6.96
