Skater,Element #,Element,Base Value,Final Score,GOE
Bradie TENNELL,1,3Lz,5.9,7.25,1.35
Bradie TENNELL,10,ChSq1,3.0,4.29,1.29
Bradie TENNELL,11,CCSp3,2.8,3.56,0.76
Bradie TENNELL,12,CCoSp3,3.0,3.86,0.86
Bradie TENNELL,2,3Lo+2A+SEQ,8.2,9.25,1.05
Bradie TENNELL,3,3F,5.3,6.66,1.36
Bradie TENNELL,4,3S,4.3,5.04,0.74
Bradie TENNELL,5,FCCoSp2V,1.88,2.02,0.14
Bradie TENNELL,6,StSq2,2.6,3.19,0.59
Elyce LIN-GRACEY,1,3Lz+3T,10.1,11.36,1.26
Elyce LIN-GRACEY,10,LSp4,2.7,3.55,0.85
Elyce LIN-GRACEY,11,ChSq1,3.0,4.36,1.36
Elyce LIN-GRACEY,12,CCoSp3,3.0,3.73,0.73
Elyce LIN-GRACEY,4,FCCoSp4,3.5,4.45,0.95
Elyce LIN-GRACEY,5,StSq3,3.3,3.96,0.66
Elyce LIN-GRACEY,6,2A,3.3,2.17,-1.13
Isabeau LEVITO,10,ChSq1,3.0,4.5,1.5
Isabeau LEVITO,11,StSq2,2.6,3.31,0.71
Isabeau LEVITO,12,FCSp4,3.2,4.16,0.96
Isabeau LEVITO,2,2A,3.3,4.05,0.75
Isabeau LEVITO,3,3Lo,4.9,5.95,1.05
Isabeau LEVITO,4,2A,3.3,4.01,0.71
Isabeau LEVITO,5,CCoSp4,3.5,4.7,1.2
Isabeau LEVITO,9,LSp4,2.7,3.39,0.69
Lea SERNA,10,FCSp4,3.2,3.61,0.41
Lea SERNA,11,StSq3,3.3,3.77,0.47
Lea SERNA,12,CCoSp4V,2.63,2.78,0.15
Lea SERNA,2,3S,4.3,5.04,0.74
Lea SERNA,3,3T,4.2,4.62,0.42
Lea SERNA,4,2A,3.3,3.82,0.52
Lea SERNA,5,FCCoSp4V,2.63,3.04,0.41
Lea SERNA,6,ChSq1,3.0,3.5,0.5
Livia KAISER,1,3Lz+2T,7.2,8.3,1.1
Livia KAISER,10,StSq4,3.9,4.35,0.45
Livia KAISER,11,CCoSp4,3.5,4.1,0.6
Livia KAISER,12,LSp4,2.7,3.09,0.39
Livia KAISER,2,3F,5.3,6.51,1.21
Livia KAISER,3,2S,1.3,1.36,0.06
Livia KAISER,4,2A,3.3,3.63,0.33
Livia KAISER,5,FCCoSp4,3.5,3.35,-0.15
Livia KAISER,6,ChSq1,3.0,3.5,0.5
Minchae KIM,1,3T,4.2,5.04,0.84
Minchae KIM,10,StSq2,2.6,2.82,0.22
Minchae KIM,11,ChSq1,3.0,3.86,0.86
Minchae KIM,12,LSp2,1.9,2.2,0.3
Minchae KIM,2,3F+2T,6.6,7.13,0.53
Minchae KIM,3,1S,0.4,0.38,-0.02
Minchae KIM,4,2A,3.3,3.91,0.61
Minchae KIM,5,FSSp4,3.0,3.56,0.56
Minchae KIM,9,CCoSp2,2.5,2.64,0.14
Nina PINZARRONE,10,CCoSp4,3.5,4.5,1.0
Nina PINZARRONE,11,ChSq1,3.0,4.36,1.36
Nina PINZARRONE,12,LSp4,2.7,3.7,1.0
Nina PINZARRONE,2,3F,5.3,6.06,0.76
Nina PINZARRONE,3,3Lo,4.9,5.88,0.98
Nina PINZARRONE,4,2A,3.3,3.77,0.47
Nina PINZARRONE,5,FCCoSp4,3.5,4.3,0.8
Nina PINZARRONE,8,StSq4,3.9,5.01,1.11
Olga MIKUTINA,1,3Lz+3T,10.1,11.11,1.01
Olga MIKUTINA,12,CCoSp2,2.5,2.96,0.46
Olga MIKUTINA,2,2F,1.8,1.98,0.18
Olga MIKUTINA,4,FCSp4,3.2,3.98,0.78
Olga MIKUTINA,5,ChSq1,3.0,3.86,0.86
Olga MIKUTINA,6,1A,1.1,1.19,0.09
Olga MIKUTINA,8,FCCoSp4,3.5,4.1,0.6
Olga MIKUTINA,9,StSq3,3.3,4.01,0.71
Rinka WATANABE,1,2A,3.3,4.24,0.94
Rinka WATANABE,10,StSq3,3.3,4.05,0.75
Rinka WATANABE,11,FSSp3,2.6,2.82,0.22
Rinka WATANABE,12,CCoSp3,3.0,3.47,0.47
Rinka WATANABE,3,3F,5.3,6.21,0.91
Rinka WATANABE,4,3Lz+2T,7.2,8.04,0.84
Rinka WATANABE,5,FCSp3,2.8,3.36,0.56
Rinka WATANABE,9,ChSq1,3.0,4.29,1.29
Sofja STEPCENKO,10,ChSq1,3.0,3.0,0.0
Sofja STEPCENKO,11,FCSp4,3.2,3.2,0.0
Sofja STEPCENKO,12,CCoSp4,3.5,3.65,0.15
Sofja STEPCENKO,2,3Lz+2T,7.2,7.79,0.59
Sofja STEPCENKO,4,StSq3,3.3,3.49,0.19
Sofja STEPCENKO,5,2A+2T,4.6,4.69,0.09
Sofja STEPCENKO,7,SSp3,2.1,2.4,0.3
Wakaba HIGUCHI,1,2A,3.3,4.29,0.99
Wakaba HIGUCHI,10,FCSp4,3.2,3.66,0.46
Wakaba HIGUCHI,11,StSq4,3.9,5.07,1.17
Wakaba HIGUCHI,12,SSp4,2.5,3.0,0.5
Wakaba HIGUCHI,2,3Lz+2T,7.2,8.3,1.1
Wakaba HIGUCHI,3,3Lo,4.9,6.09,1.19
Wakaba HIGUCHI,4,CCoSp4,3.5,4.05,0.55
Wakaba HIGUCHI,5,3S,4.3,4.98,0.68
Wakaba HIGUCHI,6,ChSq1,3.0,4.0,1.0
Yuna AOKI,1,3Lz+3Lo,10.8,11.81,1.01
Yuna AOKI,10,ChSq1,3.0,4.14,1.14
Yuna AOKI,11,StSq4,3.9,4.9,1.0
