Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Wakaba HIGUCHI,Composition,8.25,7.5,7.75,7.75,8.75,7.75,8.0,7.5,7.5,7.79
Wakaba HIGUCHI,Presentation,8.25,8.25,8.25,7.75,8.25,8.0,8.5,8.0,7.25,8.11
Wakaba HIGUCHI,Skating Skills,8.5,8.5,8.0,8.5,9.0,8.25,8.5,8.25,8.0,8.36
Nina PINZARRONE,Composition,8.25,8.0,8.0,8.25,9.0,8.0,8.25,7.75,8.0,8.11
Nina PINZARRONE,Presentation,7.75,7.75,8.0,8.25,8.5,8.0,7.75,8.0,8.25,8.0
Nina PINZARRONE,Skating Skills,8.0,7.75,7.5,8.25,8.75,7.75,8.0,7.5,8.0,7.89
Rinka WATANABE,Composition,8.0,7.75,8.0,8.0,8.75,8.0,8.25,7.5,8.0,8.0
Rinka WATANABE,Presentation,8.0,8.0,8.0,8.0,8.25,7.75,8.25,7.25,7.75,7.96
Rinka WATANABE,Skating Skills,8.0,8.25,8.25,8.5,8.75,8.25,8.5,7.75,8.25,8.29
Yuna AOKI,Composition,7.75,8.0,8.0,7.0,7.5,7.25,7.75,8.5,7.5,7.68
Yuna AOKI,Presentation,7.75,8.0,8.0,7.0,7.25,7.5,8.25,8.0,7.75,7.75
Yuna AOKI,Skating Skills,8.0,7.75,7.75,7.5,7.75,7.5,8.25,8.0,7.75,7.79
Isabeau LEVITO,Composition,8.25,9.0,8.5,8.5,9.25,8.25,7.5,8.75,9.0,8.61
Isabeau LEVITO,Presentation,8.25,8.75,8.5,8.25,8.75,8.0,7.75,8.5,8.75,8.43
Isabeau LEVITO,Skating Skills,8.0,8.5,8.25,8.5,9.0,8.25,7.75,8.5,8.5,8.36
Bradie TENNELL,Composition,8.5,8.25,8.25,8.25,9.0,8.0,7.75,7.5,8.0,8.14
Bradie TENNELL,Presentation,8.0,8.5,8.5,8.5,8.5,8.0,7.75,8.25,8.25,8.29
Bradie TENNELL,Skating Skills,8.25,8.0,8.0,8.5,8.75,8.25,8.0,7.75,7.75,8.11
Elyce LIN-GRACEY,Composition,7.75,7.75,8.0,7.25,8.0,7.75,7.5,7.5,7.25,7.64
Elyce LIN-GRACEY,Presentation,7.5,7.75,7.25,7.25,7.5,7.5,7.5,7.25,7.5,7.43
Elyce LIN-GRACEY,Skating Skills,7.5,7.75,7.5,7.75,7.75,7.75,7.75,7.75,7.5,7.68
Livia KAISER,Composition,7.75,7.5,7.0,7.25,7.25,7.0,7.25,7.5,7.0,7.25
Livia KAISER,Presentation,7.5,7.25,6.75,7.25,7.0,7.0,7.5,7.25,7.25,7.21
Livia KAISER,Skating Skills,7.25,7.5,7.25,7.5,7.75,6.75,7.25,7.0,7.0,7.25
Olga MIKUTINA,Composition,8.0,7.25,7.5,7.5,7.5,7.5,7.5,7.25,7.25,7.43
Olga MIKUTINA,Presentation,7.75,7.25,7.75,7.0,7.0,7.25,7.25,6.75,7.0,7.21
Olga MIKUTINA,Skating Skills,7.75,6.75,7.5,7.25,7.25,7.5,7.5,7.25,7.0,7.32
Lea SERNA,Composition,6.25,7.5,6.5,7.25,7.25,6.5,6.5,6.75,7.25,6.86
Lea SERNA,Presentation,6.5,7.25,6.5,6.75,6.75,6.75,6.75,6.5,7.0,6.71
Lea SERNA,Skating Skills,6.5,7.5,6.75,7.25,7.0,6.75,6.75,7.25,7.25,7.0
Minchae KIM,Composition,7.0,7.25,7.25,6.75,7.5,7.25,6.5,7.25,7.25,7.14
Minchae KIM,Presentation,7.5,7.25,7.0,6.75,7.0,7.0,6.75,7.0,6.75,6.96
Minchae KIM,Skating Skills,7.5,7.5,7.25,7.5,7.75,7.25,7.25,7.5,7.75,7.46
Sofja STEPCENKO,Composition,6.25,6.5,6.5,6.25,6.75,6.5,6.75,6.5,6.75,6.54
Sofja STEPCENKO,Presentation,6.0,6.75,6.5,6.5,6.5,6.25,6.25,6.0,7.0,6.39
Sofja STEPCENKO,Skating Skills,6.25,6.75,6.75,6.5,6.75,6.5,6.25,6.5,7.0,6.57
