Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Ilia MALININ,Composition,7.75,9.0,9.0,8.75,9.0,8.75,8.75,7.5,9.25,8.71
Ilia MALININ,Presentation,8.5,9.25,9.0,9.25,9.0,8.75,8.5,8.5,9.0,8.86
Ilia MALININ,Skating Skills,8.25,9.25,8.75,9.0,8.5,8.75,8.75,8.75,9.25,8.82
Junhwan CHA,Composition,8.5,8.0,8.5,8.25,9.0,8.0,9.25,6.75,8.25,8.36
Junhwan CHA,Presentation,8.75,8.0,8.75,9.0,8.5,8.25,8.75,7.25,8.25,8.46
Junhwan CHA,Skating Skills,8.5,8.25,8.5,8.75,8.75,8.0,9.0,8.0,8.0,8.39
Sota YAMAMOTO,Composition,5.75,8.0,8.0,6.75,7.75,8.25,8.25,7.5,8.5,7.79
Sota YAMAMOTO,Presentation,6.0,8.0,8.25,7.75,7.75,8.0,8.25,8.25,8.5,8.04
Sota YAMAMOTO,Skating Skills,8.0,8.25,8.5,8.5,8.25,8.25,8.5,8.5,8.25,8.36
Shun SATO,Composition,6.75,8.25,8.25,6.75,8.25,8.0,8.0,7.0,8.75,7.79
Shun SATO,Presentation,7.0,8.5,8.0,6.75,7.75,7.75,7.75,7.25,8.25,7.68
Shun SATO,Skating Skills,7.75,8.5,8.25,8.25,8.25,8.0,8.5,7.75,8.25,8.18
Gabriele FRANGIPANI,Composition,7.0,7.5,6.75,7.25,7.75,7.5,7.25,7.25,7.25,7.29
Gabriele FRANGIPANI,Presentation,7.25,7.5,7.25,7.75,7.25,7.75,7.5,7.25,7.5,7.43
Gabriele FRANGIPANI,Skating Skills,7.0,7.25,6.75,7.5,7.25,7.5,7.25,7.5,7.0,7.25
Aleksa RAKIC,Composition,6.75,7.0,7.5,6.75,7.75,7.25,7.5,6.75,8.0,7.21
Aleksa RAKIC,Presentation,6.75,7.25,7.5,7.25,7.0,7.5,7.75,7.25,7.75,7.36
Aleksa RAKIC,Skating Skills,6.5,7.25,7.0,7.0,7.25,7.0,7.25,7.0,7.5,7.11
Vladimir LITVINTSEV,Composition,5.75,7.0,6.25,4.75,7.0,7.0,5.75,6.25,6.75,6.39
Vladimir LITVINTSEV,Presentation,6.25,7.0,6.5,5.75,7.25,6.75,6.25,7.25,7.25,6.75
Vladimir LITVINTSEV,Skating Skills,6.5,7.25,7.0,6.5,7.25,6.75,7.25,7.0,7.5,7.0
Mark GORODNITSKY,Composition,6.75,7.25,6.5,5.75,7.25,6.75,6.75,6.25,7.5,6.79
Mark GORODNITSKY,Presentation,6.75,7.0,6.75,6.5,7.5,6.75,7.0,6.75,7.25,6.89
Mark GORODNITSKY,Skating Skills,6.75,7.25,7.25,7.0,7.25,6.5,6.75,6.75,7.25,7.0
Jason BROWN,Composition,8.5,8.5,8.75,8.0,8.25,8.75,8.75,7.25,8.5,8.46
Jason BROWN,Presentation,8.5,8.5,8.75,8.5,7.25,8.5,8.0,8.5,8.0,8.36
Jason BROWN,Skating Skills,8.0,8.25,8.75,8.5,7.75,8.75,8.25,9.0,7.75,8.32
Stephen GOGOLEV,Composition,4.75,7.75,7.0,7.5,7.25,7.25,7.5,6.25,7.25,7.14
Stephen GOGOLEV,Presentation,5.0,7.5,6.75,6.75,7.0,7.25,7.25,6.5,7.0,6.93
Stephen GOGOLEV,Skating Skills,6.75,7.5,7.5,7.25,7.0,7.0,7.75,6.75,7.5,7.21
Luc ECONOMIDES,Composition,7.5,7.25,7.25,6.5,7.5,7.5,7.75,7.5,7.5,7.43
Luc ECONOMIDES,Presentation,7.5,7.5,7.75,7.5,7.0,7.75,8.25,7.5,7.25,7.54
Luc ECONOMIDES,Skating Skills,6.75,7.0,7.5,7.25,7.0,7.5,7.75,7.25,7.0,7.21
