Skater,Element #,Element,Base Value,Final Score,GOE
Alysa LIU,10,FCSp3,2.8,3.32,0.52
Alysa LIU,11,ChSq1,3.0,3.79,0.79
Alysa LIU,12,LSp3,2.4,3.05,0.65
Alysa LIU,3,2A,3.3,4.01,0.71
Alysa LIU,4,CCoSp4,3.5,4.45,0.95
Alysa LIU,6,StSq3,3.3,3.91,0.61
Ekaterina KURAKOVA,10,FCCoSp2,2.5,2.79,0.29
Ekaterina KURAKOVA,11,StSq3,3.3,4.01,0.71
Ekaterina KURAKOVA,12,LSp4,2.7,3.12,0.42
Ekaterina KURAKOVA,2,3Lo,4.9,5.67,0.77
Ekaterina KURAKOVA,3,3T,4.2,4.08,-0.12
Ekaterina KURAKOVA,4,3S,4.3,4.91,0.61
Ekaterina KURAKOVA,5,CCoSp4V,2.63,2.85,0.22
Ekaterina KURAKOVA,6,ChSq1,3.0,3.5,0.5
Elyce LIN-GRACEY,10,LSp4,2.7,3.39,0.69
Elyce LIN-GRACEY,11,ChSq1,3.0,4.36,1.36
Elyce LIN-GRACEY,12,CCoSp4,3.5,4.0,0.5
Elyce LIN-GRACEY,3,3Lo,4.9,5.32,0.42
Elyce LIN-GRACEY,4,FCCoSp4,3.5,4.0,0.5
Elyce LIN-GRACEY,5,StSq2,2.6,3.08,0.48
Elyce LIN-GRACEY,6,2A,3.3,3.72,0.42
Hana YOSHIDA,10,CCoSp4,3.5,3.95,0.45
Hana YOSHIDA,11,StSq4,3.9,4.74,0.84
Hana YOSHIDA,12,SSp4,2.5,3.14,0.64
Hana YOSHIDA,3,2A+3T,7.5,8.52,1.02
Hana YOSHIDA,4,3Lo,4.9,5.25,0.35
Hana YOSHIDA,5,ChSq1,3.0,4.07,1.07
Hana YOSHIDA,6,FCCoSp4,3.5,4.1,0.6
Kaiya RUITER,10,CCoSp4,3.5,4.1,0.6
Kaiya RUITER,11,StSq2,2.6,3.01,0.41
Kaiya RUITER,12,LSp4,2.7,3.12,0.42
Kaiya RUITER,3,3S,4.3,4.67,0.37
Kaiya RUITER,4,FSSp4,3.0,3.39,0.39
Kaiya RUITER,5,ChSq1,3.0,3.57,0.57
Kaiya RUITER,6,2A,3.3,3.58,0.28
Kaori SAKAMOTO,1,2A,3.3,4.57,1.27
Kaori SAKAMOTO,12,FCCoSp4,3.5,4.3,0.8
Kaori SAKAMOTO,2,3Lz,5.9,7.0,1.1
Kaori SAKAMOTO,4,CCoSp4,3.5,4.1,0.6
Kaori SAKAMOTO,6,StSq3,3.3,4.1,0.8
Kaori SAKAMOTO,7,FSSp4,3.0,3.43,0.43
Kaori SAKAMOTO,9,ChSq1,3.0,4.14,1.14
Kimmy REPOND,1,3F+3T,9.5,10.56,1.06
Kimmy REPOND,10,LSp4,2.7,3.16,0.46
Kimmy REPOND,11,StSq4,3.9,4.51,0.61
Kimmy REPOND,12,CCoSp4,3.5,4.1,0.6
Kimmy REPOND,3,2A,3.3,3.72,0.42
Kimmy REPOND,4,3S,4.3,4.98,0.68
Kimmy REPOND,5,FCCoSp4,3.5,4.2,0.7
Kimmy REPOND,6,ChSq1,3.0,3.71,0.71
Madeline SCHIZAS,1,3Lz+3T,10.1,11.62,1.52
Madeline SCHIZAS,10,CCoSp3,3.0,3.09,0.09
Madeline SCHIZAS,11,StSq2,2.6,2.97,0.37
Madeline SCHIZAS,12,LSp4,2.7,3.28,0.58
Madeline SCHIZAS,2,3F,5.3,5.38,0.08
Madeline SCHIZAS,3,3Lo+2T,6.2,7.18,0.98
Madeline SCHIZAS,4,3S,4.3,3.07,-1.23
Madeline SCHIZAS,5,FCCoSp3,3.0,2.61,-0.39
Madeline SCHIZAS,9,ChSq1,3.0,3.64,0.64
Rino MATSUIKE,1,3Lo,4.9,6.23,1.33
Rino MATSUIKE,10,StSq4,3.9,5.07,1.17
Rino MATSUIKE,11,CCoSp4,3.5,4.8,1.3
Rino MATSUIKE,12,LSp4,2.7,3.59,0.89
Rino MATSUIKE,3,3F,5.3,6.74,1.44
Rino MATSUIKE,4,ChSq1,3.0,4.14,1.14
Rino MATSUIKE,5,2A,3.3,4.05,0.75
Rino MATSUIKE,6,FCCoSp4,3.5,4.25,0.75
Sara-Maude DUPUIS,10,FCSp4,3.2,3.47,0.27
Sara-Maude DUPUIS,11,StSq3,3.3,3.63,0.33
Sara-Maude DUPUIS,12,CCoSp4,3.5,3.8,0.3
Sara-Maude DUPUIS,2,2A+3T,7.5,8.34,0.84
Sara-Maude DUPUIS,5,FCCoSp4,3.5,4.0,0.5
Sara-Maude DUPUIS,9,ChSq1,3.0,3.29,0.29
Seoyeong WI,10,StSq3,3.3,3.49,0.19
Seoyeong WI,11,FCCoSp4,3.5,3.65,0.15
Seoyeong WI,12,CCoSp3,3.0,3.26,0.26
Seoyeong WI,5,FCSp4,3.2,3.15,-0.05
Seoyeong WI,6,ChSq1,3.0,3.43,0.43
Yelim KIM,1,1Lz,0.6,0.57,-0.03
Yelim KIM,10,SSp4,2.5,2.89,0.39
Yelim KIM,11,StSq3,3.3,3.58,0.28
Yelim KIM,12,CCoSp2V,1.88,2.02,0.14
Yelim KIM,2,3Lo,4.9,3.57,-1.33
Yelim KIM,5,FCSp4,3.2,3.57,0.37
Yelim KIM,9,ChSq1,3.0,3.29,0.29
