Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Rino MATSUIKE,Composition,8.25,7.5,7.5,8.0,8.25,8.25,8.25,6.75,8.0,7.96
Rino MATSUIKE,Presentation,8.5,8.0,8.0,8.0,8.0,7.75,8.5,7.5,9.0,8.11
Rino MATSUIKE,Skating Skills,8.5,8.25,7.75,8.25,8.5,8.5,8.5,7.75,8.5,8.32
Kaori SAKAMOTO,Composition,8.5,8.25,8.0,8.75,8.5,8.75,8.5,8.25,8.5,8.46
Kaori SAKAMOTO,Presentation,8.25,7.75,7.75,8.5,8.0,7.75,8.5,8.5,8.25,8.14
Kaori SAKAMOTO,Skating Skills,8.75,8.25,8.5,9.0,8.5,8.5,8.75,8.75,8.5,8.61
Hana YOSHIDA,Composition,8.25,7.5,7.75,8.25,7.75,6.75,8.25,7.25,7.5,7.75
Hana YOSHIDA,Presentation,8.0,7.25,8.25,8.25,8.0,7.0,8.0,7.25,7.75,7.79
Hana YOSHIDA,Skating Skills,8.5,8.25,8.0,8.25,8.5,7.75,8.25,7.75,8.5,8.21
Madeline SCHIZAS,Composition,8.0,7.0,6.5,7.5,7.5,7.25,7.5,7.5,6.75,7.29
Madeline SCHIZAS,Presentation,8.25,7.0,7.5,7.25,8.0,7.5,7.25,7.25,7.5,7.46
Madeline SCHIZAS,Skating Skills,8.0,8.25,7.0,7.75,7.75,7.25,7.5,7.25,7.25,7.54
Kimmy REPOND,Composition,7.75,7.5,7.5,7.75,8.0,7.5,7.5,7.75,7.0,7.61
Kimmy REPOND,Presentation,8.0,7.5,7.75,8.25,8.25,7.25,8.0,8.25,7.5,7.89
Kimmy REPOND,Skating Skills,7.75,7.5,8.0,8.0,8.5,7.0,8.0,7.75,8.0,7.86
Elyce LIN-GRACEY,Composition,7.5,7.0,7.5,7.75,7.25,7.25,7.25,7.25,8.0,7.39
Elyce LIN-GRACEY,Presentation,7.75,7.25,7.25,7.5,7.0,6.75,7.0,7.25,8.0,7.29
Elyce LIN-GRACEY,Skating Skills,8.25,7.25,7.5,7.5,7.5,7.5,7.75,7.25,7.5,7.5
Alysa LIU,Composition,7.75,8.75,7.0,7.5,7.5,7.25,7.5,7.5,7.5,7.5
Alysa LIU,Presentation,7.5,8.5,7.25,7.5,8.0,7.0,7.75,8.0,7.75,7.68
Alysa LIU,Skating Skills,8.25,8.25,7.0,7.5,7.0,7.0,7.75,8.0,7.25,7.54
Ekaterina KURAKOVA,Composition,6.5,7.0,6.5,7.25,6.75,7.5,7.0,6.25,7.0,6.86
Ekaterina KURAKOVA,Presentation,7.25,7.25,7.5,7.25,7.5,7.25,7.5,7.0,7.5,7.36
Ekaterina KURAKOVA,Skating Skills,6.75,6.75,6.75,7.0,6.5,7.75,7.25,7.25,6.75,6.93
Sara-Maude DUPUIS,Composition,6.75,7.25,6.25,7.0,6.5,6.5,6.75,6.5,5.25,6.61
Sara-Maude DUPUIS,Presentation,6.5,7.25,6.5,6.75,6.75,6.0,7.25,7.25,6.0,6.71
Sara-Maude DUPUIS,Skating Skills,6.75,7.5,6.75,7.25,6.5,5.5,6.75,6.75,5.75,6.64
Kaiya RUITER,Composition,6.75,6.75,6.25,7.0,6.75,6.25,5.75,7.0,6.0,6.54
Kaiya RUITER,Presentation,7.25,7.25,7.25,6.75,7.25,6.25,6.25,7.0,6.75,6.93
Kaiya RUITER,Skating Skills,7.0,6.75,6.75,7.0,6.75,6.75,6.0,6.75,6.75,6.79
Seoyeong WI,Composition,6.5,5.75,5.0,6.75,5.75,5.75,5.75,5.75,4.5,5.75
Seoyeong WI,Presentation,6.5,5.0,5.5,6.25,4.75,5.0,5.5,6.0,4.75,5.43
Seoyeong WI,Skating Skills,7.0,6.75,6.5,6.5,6.75,6.5,6.25,6.75,6.5,6.61
Yelim KIM,Composition,6.25,6.25,5.75,7.0,5.75,6.75,5.5,6.5,4.5,6.11
Yelim KIM,Presentation,5.75,6.25,5.5,6.5,6.0,5.0,5.75,6.0,5.0,5.75
Yelim KIM,Skating Skills,6.5,5.75,6.5,7.0,7.0,6.25,6.25,7.5,6.75,6.61
