Skater,Element #,Element,Base Value,Final Score,GOE
Amber GLENN,1,3A,8.0,5.14,-2.86
Amber GLENN,10,StSq3,3.3,3.91,0.61
Amber GLENN,11,ChSq1,3.0,4.29,1.29
Amber GLENN,12,LSp4,2.7,3.39,0.69
Amber GLENN,2,3F+3T,9.5,11.17,1.67
Amber GLENN,3,3Lz+2T,7.2,7.87,0.67
Amber GLENN,4,3S,4.3,5.34,1.04
Amber GLENN,5,FSSp4,3.0,3.56,0.56
Amber GLENN,8,CCoSp3,3.0,3.64,0.64
Anastasiia GUBANOVA,1,3F+3T,9.5,9.73,0.23
Anastasiia GUBANOVA,10,StSq2,2.6,2.97,0.37
Anastasiia GUBANOVA,11,CCoSp4,3.5,3.75,0.25
Anastasiia GUBANOVA,12,SSp4,2.5,2.93,0.43
Anastasiia GUBANOVA,2,3Lo,4.9,5.67,0.77
Anastasiia GUBANOVA,3,3Lz,5.9,6.83,0.93
Anastasiia GUBANOVA,5,FCSp4,3.2,3.84,0.64
Anastasiia GUBANOVA,6,ChSq1,3.0,3.14,0.14
Chaeyeon KIM,1,2A,3.3,4.15,0.85
Chaeyeon KIM,10,ChSq1,3.0,4.21,1.21
Chaeyeon KIM,11,FCSp4,3.2,3.93,0.73
Chaeyeon KIM,12,CCoSp4,3.5,4.65,1.15
Chaeyeon KIM,3,3F+2T+2Lo,8.3,9.06,0.76
Chaeyeon KIM,4,3S,4.3,5.16,0.86
Chaeyeon KIM,5,FCCoSp4,3.5,4.6,1.1
Chaeyeon KIM,9,StSq3,3.3,4.34,1.04
Clemence MAYINDU,1,3F+2T,6.6,6.22,-0.38
Clemence MAYINDU,11,LSp2,1.9,1.71,-0.19
Clemence MAYINDU,12,StSq2,2.6,2.23,-0.37
Clemence MAYINDU,2,3T,4.2,2.76,-1.44
Clemence MAYINDU,4,3S+1A+SEQ,5.4,4.11,-1.29
Clemence MAYINDU,5,FCSp2,2.3,2.23,-0.07
Clemence MAYINDU,6,ChSq1,3.0,2.86,-0.14
Clemence MAYINDU,8,CCoSp3,3.0,2.91,-0.09
Lea SERNA,10,FCSp4,3.2,3.52,0.32
Lea SERNA,11,StSq3,3.3,3.87,0.57
Lea SERNA,12,CoSp,0.0,0.0,0.0
Lea SERNA,2,3S,4.3,4.73,0.43
Lea SERNA,3,3T,4.2,4.62,0.42
Lea SERNA,4,2A,3.3,3.82,0.52
Lea SERNA,5,FCCoSp4,3.5,4.05,0.55
Lea SERNA,6,ChSq1,3.0,3.71,0.71
Livia KAISER,1,3Lz+3T,10.1,11.2,1.1
Livia KAISER,10,StSq2,2.6,2.71,0.11
Livia KAISER,11,CoSp1V,1.28,0.84,-0.44
Livia KAISER,12,LSp3,2.4,2.67,0.27
Livia KAISER,2,3F,5.3,3.33,-1.97
Livia KAISER,3,3S,4.3,4.91,0.61
Livia KAISER,4,2A,3.3,3.72,0.42
Livia KAISER,5,FCCoSp,0.0,0.0,0.0
Livia KAISER,6,ChSq1,3.0,3.21,0.21
Lorine SCHILD,1,3Lz,5.9,5.23,-0.67
Lorine SCHILD,11,CCoSp4,3.5,3.85,0.35
Lorine SCHILD,12,LSp3,2.4,2.71,0.31
Lorine SCHILD,4,FCCoSp4,3.5,3.8,0.3
Lorine SCHILD,5,2A,3.3,3.63,0.33
Lorine SCHILD,7,StSq2,2.6,2.79,0.19
Lorine SCHILD,9,ChSq1,3.0,3.64,0.64
Mai MIHARA,1,3Lz+2T+2Lo,8.9,10.0,1.1
Mai MIHARA,10,StSq3,3.3,3.96,0.66
Mai MIHARA,12,FCCoSp4,3.5,4.2,0.7
Mai MIHARA,3,3S,4.3,5.1,0.8
Mai MIHARA,4,2A,3.3,3.91,0.61
Mai MIHARA,5,CCoSp4,3.5,4.3,0.8
Mai MIHARA,6,ChSq1,3.0,3.86,0.86
Mai MIHARA,7,FSSp4,3.0,3.47,0.47
Nina PINZARRONE,10,CCoSp4,3.5,4.75,1.25
Nina PINZARRONE,11,ChSq1,3.0,4.43,1.43
Nina PINZARRONE,12,LSp4,2.7,3.78,1.08
Nina PINZARRONE,2,3F,5.3,5.83,0.53
Nina PINZARRONE,3,3Lo,4.9,4.97,0.07
Nina PINZARRONE,4,2A,3.3,3.68,0.38
Nina PINZARRONE,5,FCCoSp3V,2.25,2.77,0.52
Nina PINZARRONE,8,StSq4,3.9,4.96,1.06
Rion SUMIYOSHI,1,2A+3T,7.5,8.88,1.38
Rion SUMIYOSHI,11,StSq4,3.9,5.18,1.28
Rion SUMIYOSHI,12,LSp4,2.7,3.51,0.81
Rion SUMIYOSHI,3,CCoSp4,3.5,4.35,0.85
Rion SUMIYOSHI,4,3Lo,4.9,5.74,0.84
Rion SUMIYOSHI,5,3S,4.3,5.53,1.23
Rion SUMIYOSHI,6,ChSq1,3.0,4.43,1.43
Rion SUMIYOSHI,9,FCCoSp4,3.5,4.4,0.9
Sarah EVERHARDT,1,3Lz,5.9,6.83,0.93
Sarah EVERHARDT,10,FSSp4,3.0,3.56,0.56
Sarah EVERHARDT,11,ChSq1,3.0,3.79,0.79
Sarah EVERHARDT,12,FCCoSp3,3.0,3.56,0.56
Sarah EVERHARDT,2,2A+3T,7.5,8.4,0.9
Sarah EVERHARDT,4,3Lo+2A+SEQ,8.2,8.97,0.77
Sarah EVERHARDT,5,CCoSp4,3.5,4.25,0.75
Sarah EVERHARDT,6,StSq3,3.3,3.96,0.66
Wakaba HIGUCHI,1,2A,3.3,4.29,0.99
Wakaba HIGUCHI,10,FCSp4,3.2,3.79,0.59
Wakaba HIGUCHI,11,StSq3,3.3,4.57,1.27
Wakaba HIGUCHI,12,SSp4,2.5,3.11,0.61
Wakaba HIGUCHI,3,3Lo,4.9,5.95,1.05
