Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Wakaba HIGUCHI,Composition,8.5,8.5,8.25,8.0,8.25,8.5,8.25,8.5,9.0,8.39
Wakaba HIGUCHI,Presentation,8.75,8.75,8.0,8.5,8.5,8.75,8.5,8.5,9.0,8.61
Wakaba HIGUCHI,Skating Skills,8.75,8.75,8.0,8.75,8.5,8.5,8.75,8.75,9.25,8.68
Rion SUMIYOSHI,Composition,8.0,8.5,8.0,8.25,8.0,8.25,8.25,8.75,8.5,8.25
Rion SUMIYOSHI,Presentation,8.0,8.5,8.0,8.0,7.75,8.0,8.75,8.75,8.5,8.25
Rion SUMIYOSHI,Skating Skills,8.25,8.25,7.75,8.5,8.0,8.25,8.5,8.5,9.0,8.32
Amber GLENN,Composition,8.5,8.25,8.5,7.75,8.5,8.25,8.5,8.25,9.0,8.39
Amber GLENN,Presentation,8.25,8.25,8.5,7.75,8.0,8.0,8.75,8.25,8.75,8.29
Amber GLENN,Skating Skills,8.75,8.75,8.5,8.25,8.0,8.25,8.75,8.5,9.0,8.54
Sarah EVERHARDT,Composition,8.25,8.25,7.75,7.25,8.25,8.0,7.5,7.75,7.0,7.82
Sarah EVERHARDT,Presentation,8.0,8.0,7.75,7.0,7.25,7.75,8.0,7.75,7.25,7.68
Sarah EVERHARDT,Skating Skills,8.25,7.75,7.75,8.0,7.75,7.75,7.5,7.5,7.5,7.71
Chaeyeon KIM,Composition,8.5,8.0,8.5,8.25,8.25,8.0,8.75,8.75,9.0,8.43
Chaeyeon KIM,Presentation,8.25,7.75,8.25,7.75,8.0,8.25,8.5,8.75,9.0,8.25
Chaeyeon KIM,Skating Skills,8.5,7.75,8.25,8.5,8.5,8.0,8.75,8.5,9.25,8.43
Nina PINZARRONE,Composition,8.25,8.25,7.5,7.75,8.5,7.75,8.5,8.0,8.25,8.11
Nina PINZARRONE,Presentation,7.75,8.25,7.5,7.25,8.25,7.75,8.25,8.25,8.0,7.96
Nina PINZARRONE,Skating Skills,8.0,8.0,7.5,7.75,7.75,7.5,7.75,7.5,8.5,7.75
Anastasiia GUBANOVA,Composition,7.25,7.5,6.75,7.25,8.25,7.5,6.75,6.75,7.5,7.21
Anastasiia GUBANOVA,Presentation,7.0,7.5,6.75,7.25,7.75,7.5,7.25,7.0,7.25,7.25
Anastasiia GUBANOVA,Skating Skills,7.5,7.25,6.75,7.75,7.5,7.25,6.75,6.5,7.75,7.25
Mai MIHARA,Composition,7.5,8.0,7.5,7.25,7.75,8.0,7.5,6.75,7.0,7.5
Mai MIHARA,Presentation,7.75,7.75,7.25,7.5,7.5,7.5,7.25,7.25,7.25,7.43
Mai MIHARA,Skating Skills,7.75,7.75,7.5,7.5,8.0,7.75,7.75,7.5,8.0,7.71
Livia KAISER,Composition,7.25,6.75,6.75,6.75,6.0,7.0,6.5,6.75,7.25,6.82
Livia KAISER,Presentation,7.25,6.75,6.25,6.5,6.0,6.5,6.25,6.5,6.5,6.46
Livia KAISER,Skating Skills,7.0,7.0,7.0,7.25,6.5,6.75,7.0,6.5,7.0,6.89
Lorine SCHILD,Composition,6.25,7.0,6.5,6.75,6.75,7.25,6.5,7.25,6.75,6.79
Lorine SCHILD,Presentation,6.25,7.25,6.0,6.5,6.25,7.0,6.25,7.0,7.5,6.64
Lorine SCHILD,Skating Skills,6.5,7.0,6.25,7.0,7.0,7.0,6.75,6.5,7.5,6.82
Lea SERNA,Composition,6.5,6.75,6.25,7.0,5.75,7.0,7.0,7.0,6.75,6.75
Lea SERNA,Presentation,6.75,7.25,6.0,6.5,6.25,6.75,7.25,7.25,7.25,6.86
Lea SERNA,Skating Skills,6.75,6.75,6.25,7.0,6.5,6.5,6.75,6.75,7.0,6.71
Clemence MAYINDU,Composition,5.25,6.25,5.5,5.0,5.0,5.75,4.5,4.75,6.5,5.36
Clemence MAYINDU,Presentation,5.0,6.25,5.0,4.75,5.5,5.5,4.25,4.75,5.75,5.18
Clemence MAYINDU,Skating Skills,6.75,6.5,5.25,5.5,6.0,5.5,4.75,5.0,6.0,5.68
