Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Yuma KAGIYAMA,Composition,9.0,9.25,8.75,9.25,8.75,9.25,9.0,9.5,9.0,9.07
Yuma KAGIYAMA,Presentation,9.25,9.0,9.0,9.0,8.5,9.25,9.25,9.25,8.75,9.07
Yuma KAGIYAMA,Skating Skills,9.0,9.0,9.25,9.5,9.0,9.0,9.25,9.25,9.25,9.14
Ilia MALININ,Composition,9.0,9.25,8.5,8.25,9.25,8.5,8.25,8.5,8.75,8.68
Ilia MALININ,Presentation,8.75,9.25,9.0,8.0,8.75,8.25,8.5,8.25,8.75,8.61
Ilia MALININ,Skating Skills,9.0,9.25,9.0,8.5,9.25,8.5,8.5,8.75,8.5,8.79
Shun SATO,Composition,9.0,8.0,8.75,8.25,8.0,8.25,8.25,8.5,8.25,8.32
Shun SATO,Presentation,8.75,7.75,8.25,8.25,7.5,7.75,8.25,8.25,8.0,8.07
Shun SATO,Skating Skills,8.75,8.0,8.5,8.5,7.75,8.5,8.5,8.5,8.5,8.43
Daniel GRASSL,Composition,7.75,8.25,7.25,8.25,8.0,8.0,8.25,7.75,8.0,8.0
Daniel GRASSL,Presentation,7.25,8.0,7.5,8.0,8.5,8.25,8.5,8.0,7.75,8.0
Daniel GRASSL,Skating Skills,7.5,8.0,7.5,8.0,8.25,8.0,8.0,8.0,7.75,7.89
Kevin AYMOZ,Composition,8.25,8.25,8.5,8.0,9.5,8.75,8.75,9.25,8.75,8.64
Kevin AYMOZ,Presentation,8.5,8.0,8.5,8.25,9.0,8.75,8.75,9.0,8.75,8.64
Kevin AYMOZ,Skating Skills,8.0,8.25,8.75,8.25,9.25,8.5,8.5,9.0,8.75,8.57
Mikhail SHAIDOROV,Composition,7.75,8.0,8.0,7.5,7.75,7.75,7.5,8.0,7.75,7.79
Mikhail SHAIDOROV,Presentation,7.5,8.0,7.5,7.75,7.25,7.75,7.75,8.0,7.5,7.68
Mikhail SHAIDOROV,Skating Skills,8.0,7.75,8.0,8.25,7.5,7.75,8.0,8.25,7.5,7.89
