Skater,Element #,Element,Base Value,Final Score,GOE
Andrew TORGASHEV,10,FSSp3,2.6,2.97,0.37
Andrew TORGASHEV,11,ChSq1,3.0,4.43,1.43
Andrew TORGASHEV,12,CCoSp4,3.5,4.35,0.85
Andrew TORGASHEV,2,3F,5.3,6.74,1.44
Andrew TORGASHEV,3,3Lo,4.9,6.23,1.33
Andrew TORGASHEV,5,StSq4,3.9,4.68,0.78
Andrew TORGASHEV,6,CCSp3,2.8,3.44,0.64
Daniel GRASSL,1,4Lz,11.5,12.98,1.48
Daniel GRASSL,10,StSq4,3.9,4.74,0.84
Daniel GRASSL,11,CCoSp4,3.5,4.4,0.9
Daniel GRASSL,12,CSSp3,2.6,3.08,0.48
Daniel GRASSL,2,4Lo,10.5,13.05,2.55
Daniel GRASSL,3,4S,9.7,10.81,1.11
Daniel GRASSL,4,3A+3T,12.2,13.11,0.91
Daniel GRASSL,5,ChSq1,3.0,3.86,0.86
Daniel GRASSL,8,FCCoSp3,3.0,3.39,0.39
Gabriele FRANGIPANI,10,CCSp4,3.2,3.43,0.23
Gabriele FRANGIPANI,11,ChSq1,3.0,4.36,1.36
Gabriele FRANGIPANI,12,CCoSp4,3.5,2.9,-0.6
Gabriele FRANGIPANI,2,4S,9.7,7.34,-2.36
Gabriele FRANGIPANI,3,3A,8.0,5.26,-2.74
Gabriele FRANGIPANI,4,FCCoSp3,3.0,3.3,0.3
Gabriele FRANGIPANI,5,StSq3,3.3,3.96,0.66
Gabriele FRANGIPANI,6,3A+2T,9.3,7.93,-1.37
Jason BROWN,1,2A,3.3,3.44,0.14
Jason BROWN,10,ChSq1,3.0,5.21,2.21
Jason BROWN,12,CCSp4,3.2,4.3,1.1
Jason BROWN,2,1A,1.1,1.07,-0.03
Jason BROWN,3,3Lz,5.9,7.92,2.02
Jason BROWN,4,3S,4.3,5.34,1.04
Jason BROWN,5,FCCoSp4,3.5,4.9,1.4
Jason BROWN,6,StSq4,3.9,5.52,1.62
Jason BROWN,9,CCoSp4,3.5,4.6,1.1
Juheon LIM,1,3A,8.0,8.69,0.69
Juheon LIM,10,CCoSp4,3.5,3.7,0.2
Juheon LIM,11,ChSq1,3.0,3.86,0.86
Juheon LIM,12,CSSp4,3.0,3.43,0.43
Juheon LIM,3,3Lz+2T,7.2,7.2,0.0
Juheon LIM,5,FCCoSp4,3.5,3.85,0.35
Juheon LIM,6,StSq3,3.3,3.63,0.33
Kao MIURA,1,3A,8.0,6.63,-1.37
Kao MIURA,11,CSSp3,2.6,2.97,0.37
Kao MIURA,12,CCoSp4,3.5,4.1,0.6
Kao MIURA,2,3S,4.3,5.28,0.98
Kao MIURA,4,FCSp4,3.2,3.79,0.59
Kao MIURA,5,2A,3.3,3.3,0.0
Kao MIURA,6,StSq3,3.3,4.15,0.85
Kao MIURA,9,ChSq1,3.0,3.5,0.5
Mark GORODNITSKY,1,3A,8.0,10.06,2.06
Mark GORODNITSKY,10,StSq3,3.3,3.68,0.38
Mark GORODNITSKY,11,CCoSp3,3.0,3.34,0.34
Mark GORODNITSKY,12,ChSq1,3.0,3.64,0.64
Mark GORODNITSKY,2,2A+3A+SEQ,11.3,7.76,-3.54
Mark GORODNITSKY,3,3Lz,5.9,6.74,0.84
Mark GORODNITSKY,4,3F+3T,9.5,9.88,0.38
Mark GORODNITSKY,5,FCCoSp3,3.0,3.21,0.21
Mark GORODNITSKY,6,CSSp3,2.6,2.79,0.19
Matteo RIZZO,10,StSq4,3.9,5.01,1.11
Matteo RIZZO,11,CCSp3,2.8,3.16,0.36
Matteo RIZZO,12,FSSp4,3.0,3.47,0.47
Matteo RIZZO,2,3A+2A+SEQ,11.3,13.13,1.83
Matteo RIZZO,3,3F+1Eu+3S,10.1,11.54,1.44
Matteo RIZZO,5,CCoSp4,3.5,4.4,0.9
Matteo RIZZO,9,ChSq1,3.0,4.29,1.29
Tatsuya TSUBOI,1,4S+3T,13.9,16.39,2.49
Tatsuya TSUBOI,10,ChSq1,3.0,4.0,1.0
Tatsuya TSUBOI,12,FCCoSp4,3.5,4.0,0.5
Tatsuya TSUBOI,2,4S,9.7,12.61,2.91
Tatsuya TSUBOI,4,FSSp3,2.6,2.97,0.37
Tatsuya TSUBOI,5,StSq3,3.3,3.68,0.38
Tatsuya TSUBOI,6,3A+1Eu+3S,12.8,14.74,1.94
Tatsuya TSUBOI,9,CCoSp4,3.5,4.0,0.5
Tomoki HIWATASHI,10,FSSp4,3.0,3.13,0.13
Tomoki HIWATASHI,11,StSq3,3.3,3.96,0.66
Tomoki HIWATASHI,12,CCoSp3V,2.25,2.57,0.32
Tomoki HIWATASHI,2,3Lz,5.9,6.83,0.93
Tomoki HIWATASHI,3,3A,8.0,9.03,1.03
