Skater,Element #,Element,Base Value,Final Score,GOE
CHIBA Mone,2,3Lo,4.9,6.09,1.19
CHIBA Mone,3,3S,4.3,5.53,1.23
CHIBA Mone,4,2A,3.3,4.24,0.94
CHIBA Mone,5,FCCoSp4,3.5,4.4,0.9
CHIBA Mone,6,3Lz+2A+SEQ,10.12,11.64,1.52
CHIBA Mone,8,3F,5.83,7.04,1.21
CHIBA Mone,9,CCoSp4,3.5,4.55,1.05
CHIBA Mone,10,StSq4,3.9,5.4,1.5
CHIBA Mone,11,ChSq1,3.0,4.93,1.93
CHIBA Mone,12,LSp4,2.7,3.82,1.12
GLENN Amber,1,3A,8.0,10.4,2.4
GLENN Amber,2,3F+3T,9.5,10.94,1.44
GLENN Amber,3,3Lz+2T,7.2,8.13,0.93
GLENN Amber,4,3S,4.3,5.16,0.86
GLENN Amber,5,FSSp4,3.0,3.77,0.77
GLENN Amber,6,3Lo+2A+2A+SEQ,12.65,13.98,1.33
GLENN Amber,7,3F,5.83,6.97,1.14
GLENN Amber,8,CCoSp4,3.5,4.55,1.05
GLENN Amber,9,3Lo,5.39,3.85,-1.54
GLENN Amber,10,StSq2,2.6,3.23,0.63
GLENN Amber,11,ChSq1,3.0,4.5,1.5
GLENN Amber,12,LSp4,2.7,3.39,0.69
GUBANOVA Anastasiia,1,3F+3T,9.5,11.01,1.51
GUBANOVA Anastasiia,1,3Lz+1Eu+3S,10.7,11.88,1.18
GUBANOVA Anastasiia,2,3F,5.3,6.59,1.29
GUBANOVA Anastasiia,2,3Lo,4.9,6.16,1.26
GUBANOVA Anastasiia,3,3Lz,5.9,4.21,-1.69
GUBANOVA Anastasiia,4,3S,4.3,5.16,0.86
GUBANOVA Anastasiia,5,CSp4,2.6,3.12,0.52
GUBANOVA Anastasiia,5,FCSp4,3.2,4.11,0.91
GUBANOVA Anastasiia,6,3Lz+2A+2T+SEQ,11.55,12.56,1.01
GUBANOVA Anastasiia,6,CCoSp4,3.5,4.2,0.7
GUBANOVA Anastasiia,7,3F+2T,7.26,8.32,1.06
GUBANOVA Anastasiia,7,3Lz,6.49,8.09,1.6
GUBANOVA Anastasiia,8,2A,3.63,4.1,0.47
GUBANOVA Anastasiia,8,3T+2A+SEQ,8.25,8.73,0.48
GUBANOVA Anastasiia,9,2A,3.63,4.34,0.71
GUBANOVA Anastasiia,9,StSq3,3.3,4.29,0.99
GUBANOVA Anastasiia,10,ChSq1,3.0,4.36,1.36
GUBANOVA Anastasiia,10,StSq4,3.9,4.85,0.95
GUBANOVA Anastasiia,11,CCoSp4,3.5,4.0,0.5
GUBANOVA Anastasiia,11,ChSq1,3.0,4.57,1.57
GUBANOVA Anastasiia,12,FCCoSp4,3.5,4.15,0.65
GUBANOVA Anastasiia,12,SSp4,2.5,3.11,0.61
HENDRICKX Loena,2,3F+2T,6.6,7.58,0.98
HENDRICKX Loena,3,1F,0.5,0.5,0.0
HENDRICKX Loena,4,2A,3.3,3.91,0.61
HENDRICKX Loena,5,CCoSp4,3.5,4.45,0.95
HENDRICKX Loena,6,StSq4,3.9,5.07,1.17
HENDRICKX Loena,8,2A,3.63,4.29,0.66
HENDRICKX Loena,9,3S,4.73,5.41,0.68
HENDRICKX Loena,10,FCCoSp3,3.0,3.47,0.47
HENDRICKX Loena,11,ChSq1,3.0,4.64,1.64
HENDRICKX Loena,12,LSp3,2.4,3.29,0.89
KAISER Livia,1,3Lz+3T,10.1,11.7,1.6
KAISER Livia,2,3F,5.3,4.54,-0.76
KAISER Livia,3,3Lo+2T,6.2,6.41,0.21
KAISER Livia,4,3S,4.3,4.61,0.31
KAISER Livia,5,CCoSp4,3.5,3.85,0.35
KAISER Livia,6,3Lz+2A+2T+SEQ,11.55,12.48,0.93
KAISER Livia,7,3Lo,5.39,5.95,0.56
KAISER Livia,9,StSq2,2.6,2.9,0.3
KAISER Livia,10,FCCoSp3V,2.25,2.25,0.0
KAISER Livia,11,ChSq1,3.0,3.57,0.57
KAISER Livia,12,LSp3,2.4,2.71,0.31
KARHUNEN Iida,1,3S,4.3,5.1,0.8
