Skater,Element #,Element,Base Value,Final Score,GOE
Aleksa RAKIC,1,4T,9.5,10.31,0.81
Aleksa RAKIC,10,CCSp3,2.8,3.2,0.4
Aleksa RAKIC,11,StSq4,3.9,4.62,0.72
Aleksa RAKIC,12,CCoSp4,3.5,4.2,0.7
Aleksa RAKIC,2,3A+2T,9.3,9.87,0.57
Aleksa RAKIC,3,3A,8.0,7.43,-0.57
Aleksa RAKIC,4,3Lo,4.9,5.39,0.49
Aleksa RAKIC,5,FSSp4,3.0,3.39,0.39
Aleksa RAKIC,6,ChSq1,3.0,3.79,0.79
Gabriele FRANGIPANI,1,4T,9.5,6.51,-2.99
Gabriele FRANGIPANI,10,CCSp4,3.2,3.38,0.18
Gabriele FRANGIPANI,11,ChSq1,3.0,4.29,1.29
Gabriele FRANGIPANI,12,CCoSp4,3.5,4.1,0.6
Gabriele FRANGIPANI,3,3A,8.0,8.11,0.11
Gabriele FRANGIPANI,4,FCCoSp4,3.5,3.9,0.4
Gabriele FRANGIPANI,5,StSq3,3.3,3.77,0.47
Gabriele FRANGIPANI,6,3A+3T,12.2,10.49,-1.71
Ilia MALININ,10,StSq4,3.9,5.29,1.39
Ilia MALININ,11,ChSq1,3.0,4.93,1.93
Ilia MALININ,12,FSSp4,3.0,3.43,0.43
Ilia MALININ,2,3A,8.0,10.4,2.4
Ilia MALININ,3,4Lz,11.5,15.28,3.78
Ilia MALININ,4,3Lo,4.9,3.08,-1.82
Ilia MALININ,5,CCoSp4,3.5,4.3,0.8
Ilia MALININ,9,CCSp4,3.2,3.84,0.64
Jason BROWN,10,ChSq1,3.0,4.36,1.36
Jason BROWN,12,CCSp4,3.2,4.34,1.14
Jason BROWN,3,3Lz,5.9,4.38,-1.52
Jason BROWN,4,3S,4.3,5.34,1.04
Jason BROWN,5,FCCoSp4,3.5,4.6,1.1
Jason BROWN,6,StSq4,3.9,5.46,1.56
Jason BROWN,9,CCoSp4,3.5,4.55,1.05
Junhwan CHA,1,4S,9.7,12.75,3.05
Junhwan CHA,10,ChSq1,3.0,4.71,1.71
Junhwan CHA,11,FCSp4,3.2,3.84,0.64
Junhwan CHA,12,FCCoSp4,3.5,3.55,0.05
Junhwan CHA,2,4T,9.5,11.81,2.31
Junhwan CHA,4,3A,8.0,9.26,1.26
Junhwan CHA,5,StSq4,3.9,5.18,1.28
Junhwan CHA,8,CCoSp4,3.5,4.45,0.95
Luc ECONOMIDES,1,3A,8.0,7.09,-0.91
Luc ECONOMIDES,10,CCSp4,3.2,3.66,0.46
Luc ECONOMIDES,11,StSq4,3.9,4.96,1.06
Luc ECONOMIDES,12,FSSp4,3.0,3.6,0.6
Luc ECONOMIDES,2,3Lz,5.9,7.0,1.1
Luc ECONOMIDES,3,3Lo,4.9,5.81,0.91
Luc ECONOMIDES,4,2A,3.3,3.72,0.42
Luc ECONOMIDES,5,ChSq1,3.0,3.86,0.86
Luc ECONOMIDES,6,CCoSp4,3.5,4.05,0.55
Mark GORODNITSKY,1,3A,8.0,5.6,-2.4
Mark GORODNITSKY,10,StSq2,2.6,2.93,0.33
Mark GORODNITSKY,11,CCoSp2,2.5,2.61,0.11
Mark GORODNITSKY,12,ChSq1,3.0,3.71,0.71
Mark GORODNITSKY,2,3A+2A+SEQ,11.3,12.56,1.26
Mark GORODNITSKY,3,3Lz,5.9,7.08,1.18
Mark GORODNITSKY,4,3F+3T,9.5,9.95,0.45
Mark GORODNITSKY,5,FCCoSp3,3.0,3.0,0.0
Mark GORODNITSKY,6,CSSp4,3.0,3.21,0.21
Shun SATO,10,StSq3,3.3,3.96,0.66
Shun SATO,11,ChSq1,3.0,3.57,0.57
Shun SATO,12,CCoSp4,3.5,4.05,0.55
Shun SATO,3,4T+3T,13.7,15.87,2.17
Shun SATO,4,FCSp3,2.8,3.24,0.44
Shun SATO,9,CSSp4,3.0,3.56,0.56
Sota YAMAMOTO,1,3Lo,4.9,6.16,1.26
Sota YAMAMOTO,10,StSq4,3.9,5.13,1.23
Sota YAMAMOTO,11,CSSp4,3.0,3.86,0.86
Sota YAMAMOTO,12,CCoSp3,3.0,3.43,0.43
Sota YAMAMOTO,3,4T+3T,13.7,14.51,0.81
Sota YAMAMOTO,4,3A+1Eu+3S,12.8,14.29,1.49
Sota YAMAMOTO,5,ChSq1,3.0,4.29,1.29
Sota YAMAMOTO,6,FCSp3,2.8,3.6,0.8
Stephen GOGOLEV,1,4S,9.7,8.87,-0.83
Stephen GOGOLEV,10,StSq3,3.3,3.72,0.42
Stephen GOGOLEV,11,FCSp4,3.2,3.7,0.5
Stephen GOGOLEV,12,FCCoSp3V,2.25,2.22,-0.03
Stephen GOGOLEV,3,3Lo,4.9,5.39,0.49
Stephen GOGOLEV,4,3A+1Eu+3S,12.8,13.49,0.69
Stephen GOGOLEV,5,CCoSp3,3.0,3.21,0.21
Stephen GOGOLEV,8,ChSq1,3.0,3.29,0.29
Vladimir LITVINTSEV,1,4S,9.7,11.5,1.8
Vladimir LITVINTSEV,10,CSSp4,3.0,3.6,0.6
Vladimir LITVINTSEV,11,StSq2,2.6,2.9,0.3
Vladimir LITVINTSEV,12,CCoSp2,2.5,2.11,-0.39
Vladimir LITVINTSEV,2,4T+3T,13.7,15.6,1.9
Vladimir LITVINTSEV,5,FCSp4,3.2,3.75,0.55
Vladimir LITVINTSEV,6,ChSq1,3.0,2.64,-0.36
