Skater,Element #,Element,Base Value,Final Score,GOE
Adam SIAO HIM FA,1,4Lz,11.5,13.14,1.64
Adam SIAO HIM FA,10,ChSq1,3.0,4.5,1.5
Adam SIAO HIM FA,11,CCoSp4,3.5,4.1,0.6
Adam SIAO HIM FA,12,CSSp3,2.6,3.34,0.74
Adam SIAO HIM FA,2,2T,1.3,1.26,-0.04
Adam SIAO HIM FA,3,3F,5.3,6.66,1.36
Adam SIAO HIM FA,4,3A+2A+SEQ,11.3,12.56,1.26
Adam SIAO HIM FA,5,FCCoSp4,3.5,4.05,0.55
Adam SIAO HIM FA,8,StSq3,3.3,3.58,0.28
Aleksandr SELEVKO,10,CCSp4,3.2,3.98,0.78
Aleksandr SELEVKO,11,StSq3,3.3,4.34,1.04
Aleksandr SELEVKO,12,CCoSp2,2.5,2.86,0.36
Aleksandr SELEVKO,2,3Lz,5.9,6.57,0.67
Aleksandr SELEVKO,3,3Lo,4.9,5.74,0.84
Aleksandr SELEVKO,4,3A+2T,9.3,8.16,-1.14
Aleksandr SELEVKO,5,FSSp3,2.6,2.97,0.37
Aleksandr SELEVKO,6,ChSq1,3.0,4.36,1.36
Andrew TORGASHEV,1,4T,9.5,10.45,0.95
Andrew TORGASHEV,10,FSSp,0.0,0.0,0.0
Andrew TORGASHEV,11,ChSq1,3.0,4.29,1.29
Andrew TORGASHEV,12,CCoSp2V,1.88,2.1,0.22
Andrew TORGASHEV,2,3F,5.3,6.44,1.14
Andrew TORGASHEV,3,3Lo,4.9,5.6,0.7
Andrew TORGASHEV,4,3A,8.0,6.29,-1.71
Andrew TORGASHEV,5,StSq3,3.3,3.77,0.47
Andrew TORGASHEV,6,CCSp3,2.8,3.28,0.48
Boyang JIN,10,ChSq1,3.0,3.43,0.43
Boyang JIN,11,StSq2,2.6,2.79,0.19
Boyang JIN,12,CSSp4,3.0,3.51,0.51
Boyang JIN,4,1A,1.1,1.04,-0.06
Boyang JIN,5,CCoSp4,3.5,3.9,0.4
Boyang JIN,9,FCSp4,3.2,3.57,0.37
Camden PULKINEN,1,2T,1.3,1.3,0.0
Camden PULKINEN,10,CSSp1,1.9,1.93,0.03
Camden PULKINEN,11,ChSq1,3.0,2.29,-0.71
Camden PULKINEN,12,CCoSp4,3.5,3.95,0.45
Camden PULKINEN,2,3Lz+3T,10.1,11.53,1.43
Camden PULKINEN,3,3A+1Eu+3S,12.8,13.6,0.8
