Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Adam SIAO HIM FA,Composition,7.25,8.5,8.25,8.75,8.25,8.0,7.75,8.75,8.75,8.32
Adam SIAO HIM FA,Presentation,7.5,8.25,8.5,8.5,8.5,8.25,8.25,8.75,8.5,8.39
Adam SIAO HIM FA,Skating Skills,7.25,8.25,8.5,8.25,8.75,7.75,7.75,8.75,8.25,8.21
Nikolaj MEMOLA,Composition,6.5,7.25,7.5,7.25,6.5,7.75,6.0,8.0,8.0,7.25
Nikolaj MEMOLA,Presentation,6.75,7.75,7.75,7.75,7.0,8.0,7.75,8.0,8.25,7.71
Nikolaj MEMOLA,Skating Skills,7.25,7.75,7.75,7.0,7.5,7.5,7.25,7.75,8.25,7.54
Koshiro SHIMADA,Composition,7.75,7.25,7.25,7.5,7.75,8.25,8.25,8.25,8.25,7.86
Koshiro SHIMADA,Presentation,7.5,7.25,7.25,7.0,8.25,8.25,8.0,8.0,8.0,7.75
Koshiro SHIMADA,Skating Skills,7.75,7.5,7.5,7.5,8.0,8.5,8.0,8.0,8.25,7.86
Andrew TORGASHEV,Composition,7.5,7.25,7.25,7.5,7.75,7.75,6.75,8.25,8.5,7.61
Andrew TORGASHEV,Presentation,7.5,7.5,7.25,7.25,7.5,8.0,7.5,8.25,8.75,7.64
Andrew TORGASHEV,Skating Skills,7.75,7.5,7.75,7.5,8.0,8.0,8.25,8.25,8.5,7.93
Mikhail SHAIDOROV,Composition,7.5,7.75,7.25,7.75,6.75,7.5,6.25,8.25,8.0,7.5
Mikhail SHAIDOROV,Presentation,7.5,7.75,7.5,7.25,7.25,7.25,6.75,8.0,7.75,7.46
Mikhail SHAIDOROV,Skating Skills,7.25,7.5,7.5,7.5,7.5,7.75,7.25,8.25,8.0,7.57
Kazuki TOMONO,Composition,8.0,7.5,8.0,7.5,7.75,7.75,7.75,8.25,8.5,7.86
Kazuki TOMONO,Presentation,8.0,7.5,8.25,7.0,7.25,8.0,7.75,8.5,8.25,7.86
Kazuki TOMONO,Skating Skills,7.75,7.75,8.25,7.75,8.25,8.25,7.75,8.25,8.5,8.04
Aleksandr SELEVKO,Composition,8.0,7.75,7.5,7.25,8.25,8.25,8.5,8.5,8.5,8.11
Aleksandr SELEVKO,Presentation,7.75,8.0,7.75,7.5,8.0,8.25,8.5,8.5,8.5,8.11
Aleksandr SELEVKO,Skating Skills,8.0,8.0,7.75,7.5,8.0,7.75,7.75,8.25,8.25,7.93
Luc ECONOMIDES,Composition,7.25,7.5,7.0,7.5,6.5,7.25,6.5,7.5,7.75,7.21
Luc ECONOMIDES,Presentation,7.5,7.75,7.0,7.75,7.25,7.5,6.25,7.75,7.0,7.39
Luc ECONOMIDES,Skating Skills,7.25,7.75,7.5,7.5,6.75,7.5,6.0,7.5,7.5,7.36
Lukas BRITSCHGI,Composition,7.5,7.25,7.5,7.5,7.75,7.5,7.0,8.25,7.75,7.54
Lukas BRITSCHGI,Presentation,7.5,7.25,7.5,7.25,7.5,7.5,7.5,7.75,7.25,7.43
Lukas BRITSCHGI,Skating Skills,7.5,7.5,7.5,7.25,7.75,7.75,7.5,8.25,8.0,7.64
Francois PITOT,Composition,7.25,7.25,6.5,7.0,7.0,6.5,6.25,6.75,7.0,6.86
Francois PITOT,Presentation,7.5,7.5,6.5,7.0,7.5,6.25,6.75,7.0,6.75,7.0
Francois PITOT,Skating Skills,7.25,7.25,6.75,7.5,7.25,6.5,6.75,7.25,6.75,7.04
Boyang JIN,Composition,6.75,6.75,7.0,7.25,7.5,7.5,6.25,7.5,7.5,7.18
Boyang JIN,Presentation,6.75,7.25,7.0,7.5,6.75,7.5,6.5,7.5,7.5,7.18
Boyang JIN,Skating Skills,7.0,7.75,7.5,7.75,7.75,7.75,7.5,7.75,7.75,7.68
Camden PULKINEN,Composition,7.0,7.25,6.75,6.75,6.75,6.75,6.5,7.25,7.25,6.93
Camden PULKINEN,Presentation,6.75,7.0,6.75,7.0,6.5,6.25,7.25,7.0,6.75,6.82
Camden PULKINEN,Skating Skills,7.25,7.5,7.0,7.5,7.5,6.75,7.0,7.5,7.25,7.29
