Skater,Element #,Element,Base Value,Final Score,GOE
Daniel GRASSL,10,StSq3,3.3,3.91,0.61
Daniel GRASSL,11,CCoSp3,3.0,3.77,0.77
Daniel GRASSL,12,CSSp3,2.6,2.97,0.37
Daniel GRASSL,3,4S,9.7,11.5,1.8
Daniel GRASSL,4,3A+3T,12.2,13.8,1.6
Daniel GRASSL,5,ChSq1,3.0,3.86,0.86
Daniel GRASSL,8,FCCoSp4,3.5,4.15,0.65
Ilia MALININ,10,StSq3,3.3,4.24,0.94
Ilia MALININ,11,ChSq1,3.0,5.21,2.21
Ilia MALININ,12,FSSp3,2.6,3.01,0.41
Ilia MALININ,5,CCoSp4,3.5,4.55,1.05
Ilia MALININ,9,CCSp4,3.2,3.93,0.73
Kevin AYMOZ,1,4T+2T,10.8,13.11,2.31
Kevin AYMOZ,10,CCSp4,3.2,4.11,0.91
Kevin AYMOZ,11,ChSq1,3.0,5.07,2.07
Kevin AYMOZ,12,CCoSp4,3.5,4.75,1.25
Kevin AYMOZ,2,4T,9.5,7.46,-2.04
Kevin AYMOZ,3,3Lz,5.9,3.71,-2.19
Kevin AYMOZ,4,3A+2A+SEQ,11.3,13.13,1.83
Kevin AYMOZ,5,FCCoSp4,3.5,4.4,0.9
Kevin AYMOZ,6,StSq4,3.9,5.35,1.45
Mikhail SHAIDOROV,10,StSq2,2.6,3.12,0.52
Mikhail SHAIDOROV,11,ChSq1,3.0,3.57,0.57
Mikhail SHAIDOROV,12,CCoSp4,3.5,3.85,0.35
Mikhail SHAIDOROV,2,3A+1Eu+4S,18.2,17.65,-0.55
Mikhail SHAIDOROV,4,3Lo,4.9,5.74,0.84
Mikhail SHAIDOROV,5,FCSp3,2.8,3.0,0.2
Mikhail SHAIDOROV,6,CSSp1,1.9,2.06,0.16
Shun SATO,1,4Lz,11.5,13.96,2.46
Shun SATO,10,StSq3,3.3,4.2,0.9
Shun SATO,11,ChSq1,3.0,4.14,1.14
Shun SATO,12,CCoSp4,3.5,4.35,0.85
Shun SATO,3,4T+3T,13.7,16.28,2.58
Shun SATO,4,FCSp3,2.8,3.36,0.56
Shun SATO,5,4T,9.5,12.49,2.99
Shun SATO,9,CSSp3,2.6,3.08,0.48
Yuma KAGIYAMA,1,4F,11.0,13.2,2.2
Yuma KAGIYAMA,10,ChSq1,3.0,4.64,1.64
Yuma KAGIYAMA,11,CCoSp3,3.0,3.86,0.86
Yuma KAGIYAMA,12,FCCoSp3,3.0,3.94,0.94
Yuma KAGIYAMA,2,2S,1.3,1.37,0.07
Yuma KAGIYAMA,3,4T+3T,13.7,16.55,2.85
Yuma KAGIYAMA,4,3A+1Eu+3S,12.8,14.86,2.06
Yuma KAGIYAMA,5,FCSSp4,3.0,3.86,0.86
Yuma KAGIYAMA,9,StSq2,2.6,3.79,1.19
