Skater,Element #,Element,Base Value,Final Score,GOE
Amber GLENN,1,3A,8.0,9.83,1.83
Amber GLENN,10,StSq3,3.3,4.05,0.75
Amber GLENN,11,ChSq1,3.0,4.21,1.21
Amber GLENN,12,LSp4,2.7,3.32,0.62
Amber GLENN,2,3F+3T,9.5,10.71,1.21
Amber GLENN,3,3Lz+2T,7.2,8.38,1.18
Amber GLENN,4,2S,1.3,1.37,0.07
Amber GLENN,5,FSSp4,3.0,3.13,0.13
Amber GLENN,8,CCoSp2,2.5,3.18,0.68
Hana YOSHIDA,10,CCoSp4,3.5,4.2,0.7
Hana YOSHIDA,11,StSq3,3.3,4.15,0.85
Hana YOSHIDA,12,SSp4,2.5,3.25,0.75
Hana YOSHIDA,3,2A+3T,7.5,8.7,1.2
Hana YOSHIDA,4,3Lo,4.9,5.95,1.05
Hana YOSHIDA,5,ChSq1,3.0,4.14,1.14
Hana YOSHIDA,6,FCCoSp4,3.5,4.1,0.6
Kaori SAKAMOTO,1,2A,3.3,4.62,1.32
Kaori SAKAMOTO,12,FCCoSp4,3.5,4.45,0.95
Kaori SAKAMOTO,2,3Lz,5.9,6.57,0.67
Kaori SAKAMOTO,3,2A+1Eu+3S,8.1,9.7,1.6
Kaori SAKAMOTO,4,CCoSp4V,2.63,3.12,0.49
Kaori SAKAMOTO,5,3F,5.3,5.22,-0.08
Kaori SAKAMOTO,6,StSq4,3.9,5.01,1.11
Kaori SAKAMOTO,7,FSSp4,3.0,3.73,0.73
Kaori SAKAMOTO,9,ChSq1,3.0,4.43,1.43
Mone CHIBA,1,3F+3T,9.5,10.94,1.44
Mone CHIBA,10,StSq4,3.9,4.96,1.06
Mone CHIBA,11,LSp4,2.7,3.78,1.08
Mone CHIBA,12,CCoSp4,3.5,4.7,1.2
Mone CHIBA,2,3S,4.3,5.41,1.11
Mone CHIBA,4,2A,3.3,4.05,0.75
Mone CHIBA,5,ChSq1,3.0,4.5,1.5
Mone CHIBA,6,FCCoSp4,3.5,4.35,0.85
Rino MATSUIKE,10,StSq4,3.9,4.9,1.0
Rino MATSUIKE,11,CCoSp4,3.5,4.7,1.2
Rino MATSUIKE,12,LSp4,2.7,3.51,0.81
Rino MATSUIKE,3,3F,5.3,6.59,1.29
Rino MATSUIKE,4,ChSq1,3.0,4.14,1.14
Rino MATSUIKE,5,2A,3.3,4.15,0.85
Rino MATSUIKE,6,FCCoSp3,3.0,3.17,0.17
Wakaba HIGUCHI,1,2A,3.3,4.24,0.94
Wakaba HIGUCHI,10,FCSp3,2.8,3.12,0.32
Wakaba HIGUCHI,11,StSq4,3.9,5.13,1.23
Wakaba HIGUCHI,12,SSp4,2.5,2.96,0.46
Wakaba HIGUCHI,2,3Lz+3T,10.1,11.62,1.52
Wakaba HIGUCHI,3,3Lo,4.9,5.88,0.98
Wakaba HIGUCHI,4,CCoSp4,3.5,4.2,0.7
Wakaba HIGUCHI,5,2S,1.3,1.3,0.0
Wakaba HIGUCHI,6,ChSq1,3.0,3.86,0.86
