Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Amber GLENN,Composition,7.75,8.5,8.5,8.5,8.5,8.25,9.0,9.0,9.0,8.61
Amber GLENN,Presentation,8.25,8.5,8.75,8.75,8.25,8.5,8.75,9.0,9.0,8.64
Amber GLENN,Skating Skills,8.25,8.75,8.75,8.75,8.5,8.5,8.75,9.0,8.75,8.68
Mone CHIBA,Composition,8.5,8.5,8.5,8.5,8.25,8.25,8.75,8.5,8.75,8.5
Mone CHIBA,Presentation,8.25,8.5,8.25,8.75,8.0,8.0,8.5,8.5,8.75,8.39
Mone CHIBA,Skating Skills,8.75,8.5,8.5,8.5,8.0,8.25,8.75,8.5,8.75,8.54
Kaori SAKAMOTO,Composition,8.0,9.0,9.0,8.75,9.25,9.0,8.5,9.0,9.5,8.93
Kaori SAKAMOTO,Presentation,8.5,8.75,8.75,9.0,9.25,8.75,8.25,8.75,9.25,8.82
Kaori SAKAMOTO,Skating Skills,8.5,8.75,9.0,8.75,9.0,9.0,8.5,9.0,9.0,8.86
Wakaba HIGUCHI,Composition,8.0,8.25,8.0,8.25,8.5,8.5,8.0,8.5,8.0,8.21
Wakaba HIGUCHI,Presentation,7.25,8.0,8.25,8.5,8.5,8.25,7.75,8.25,7.75,8.11
Wakaba HIGUCHI,Skating Skills,8.25,8.25,8.25,8.25,8.25,8.5,8.25,8.5,8.25,8.29
Hana YOSHIDA,Composition,7.0,7.75,8.25,7.75,8.25,7.5,8.75,8.0,8.0,7.93
Hana YOSHIDA,Presentation,7.25,8.0,8.0,8.0,8.0,7.75,8.5,8.0,8.0,7.96
Hana YOSHIDA,Skating Skills,7.75,8.0,8.25,8.0,7.75,8.0,8.5,8.25,8.5,8.11
Rino MATSUIKE,Composition,7.75,8.0,8.25,7.5,8.25,7.5,8.25,7.75,8.75,7.96
Rino MATSUIKE,Presentation,8.25,8.25,8.25,7.75,8.0,7.75,8.0,7.5,8.25,8.04
Rino MATSUIKE,Skating Skills,8.0,8.0,8.75,7.75,8.25,8.0,8.0,8.0,8.25,8.07
