Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Yuma KAGIYAMA,Composition,9.25,8.75,9.0,8.75,8.75,8.75,8.75,9.0,9.25,8.89
Yuma KAGIYAMA,Presentation,9.25,9.0,9.25,8.75,8.75,8.75,9.25,9.25,9.0,9.04
Yuma KAGIYAMA,Skating Skills,9.25,8.75,9.25,9.25,8.75,9.0,9.25,9.25,9.25,9.14
Daniel GRASSL,Composition,8.0,8.0,8.25,7.75,7.25,8.75,8.5,7.0,8.5,8.04
Daniel GRASSL,Presentation,8.25,8.0,8.25,7.75,7.5,8.5,8.25,7.5,8.25,8.04
Daniel GRASSL,Skating Skills,8.25,8.25,8.0,7.75,7.5,8.25,7.75,8.0,8.0,8.0
Tatsuya TSUBOI,Composition,7.75,7.5,8.25,7.5,6.5,7.75,6.5,8.0,7.75,7.54
Tatsuya TSUBOI,Presentation,8.0,7.5,8.0,7.5,7.25,7.75,7.25,7.75,7.5,7.61
Tatsuya TSUBOI,Skating Skills,8.25,8.0,8.5,7.75,8.25,7.5,8.0,8.25,7.75,8.04
Matteo RIZZO,Composition,8.25,7.5,8.25,8.25,8.0,8.5,8.25,7.5,8.5,8.14
Matteo RIZZO,Presentation,8.25,7.75,8.5,8.5,8.25,8.75,8.75,8.0,8.25,8.36
Matteo RIZZO,Skating Skills,8.0,7.75,8.25,8.0,8.0,8.5,8.5,8.5,8.25,8.21
Andrew TORGASHEV,Composition,7.75,7.75,8.0,8.0,8.0,8.25,7.5,6.75,8.75,7.89
Andrew TORGASHEV,Presentation,8.25,7.75,8.25,8.25,8.25,8.0,7.75,7.5,8.5,8.07
Andrew TORGASHEV,Skating Skills,8.0,7.5,8.0,8.25,8.5,8.5,8.25,7.5,8.5,8.14
Jason BROWN,Composition,8.5,8.5,8.5,8.25,9.0,8.75,8.5,8.5,9.5,8.61
Jason BROWN,Presentation,8.5,8.75,8.25,8.5,9.25,8.5,9.0,8.0,9.25,8.68
Jason BROWN,Skating Skills,8.25,8.5,8.5,8.5,9.25,8.75,8.75,8.25,9.0,8.61
Tomoki HIWATASHI,Composition,7.25,7.0,7.0,7.0,7.0,7.0,5.5,6.25,6.25,6.79
Tomoki HIWATASHI,Presentation,7.5,7.25,7.5,7.25,7.75,7.25,7.5,6.75,6.75,7.29
Tomoki HIWATASHI,Skating Skills,7.25,7.25,7.25,7.0,7.5,7.25,7.0,7.0,7.25,7.18
Vladimir LITVINTSEV,Composition,7.25,6.75,7.25,7.0,5.25,7.0,5.75,5.5,6.75,6.57
Vladimir LITVINTSEV,Presentation,7.25,7.0,7.0,7.0,5.75,7.0,6.5,6.0,7.0,6.79
Vladimir LITVINTSEV,Skating Skills,7.5,7.25,7.5,7.5,7.25,7.25,7.25,6.75,7.25,7.32
Gabriele FRANGIPANI,Composition,7.75,7.5,7.75,7.25,7.5,8.25,7.25,6.75,7.5,7.5
Gabriele FRANGIPANI,Presentation,7.75,7.5,7.25,7.0,6.5,8.0,7.5,7.5,7.0,7.36
Gabriele FRANGIPANI,Skating Skills,7.5,7.25,7.5,7.5,6.75,8.0,7.75,7.25,7.25,7.43
Mark GORODNITSKY,Composition,7.25,7.0,7.25,6.5,7.5,7.25,7.25,6.25,7.0,7.07
Mark GORODNITSKY,Presentation,7.5,7.25,7.0,6.5,7.75,7.0,6.75,6.5,6.75,6.96
Mark GORODNITSKY,Skating Skills,7.25,7.0,7.0,7.0,7.5,7.0,7.0,7.0,7.25,7.07
Kao MIURA,Composition,7.75,7.75,7.75,7.5,7.5,8.5,7.25,7.75,8.25,7.75
Kao MIURA,Presentation,8.0,7.75,7.5,7.25,6.75,8.0,6.75,7.25,8.0,7.5
Kao MIURA,Skating Skills,8.0,8.0,8.25,8.0,7.75,8.5,8.75,8.5,8.5,8.25
Juheon LIM,Composition,7.0,6.5,6.75,6.5,6.25,6.75,6.25,6.0,6.75,6.54
Juheon LIM,Presentation,7.0,6.25,6.5,6.5,6.5,6.5,6.5,6.25,6.25,6.43
Juheon LIM,Skating Skills,7.0,6.25,6.75,7.0,7.25,6.75,7.25,6.75,7.0,6.93
