Skater,Element #,Element,Base Value,Final Score,GOE
Alysa LIU,1,3F,5.3,6.66,1.36
Alysa LIU,10,FCSp2,2.3,2.43,0.13
Alysa LIU,11,ChSq1,3.0,3.64,0.64
Alysa LIU,12,LSp2,1.9,2.36,0.46
Alysa LIU,3,2A,3.3,4.15,0.85
Alysa LIU,4,CCoSp4,3.5,4.2,0.7
Alysa LIU,5,3Lo,4.9,6.09,1.19
Alysa LIU,6,StSq4,3.9,4.85,0.95
Bradie TENNELL,1,3Lz,5.9,7.25,1.35
Bradie TENNELL,10,ChSq1,3.0,4.71,1.71
Bradie TENNELL,11,CCSp4,3.2,4.16,0.96
Bradie TENNELL,12,CCoSp4,3.5,4.95,1.45
Bradie TENNELL,2,3Lo+2A+SEQ,8.2,9.53,1.33
Bradie TENNELL,4,3S,4.3,5.22,0.92
Bradie TENNELL,5,FCCoSp4,3.5,4.3,0.8
Bradie TENNELL,6,StSq3,3.3,4.1,0.8
Ekaterina KURAKOVA,10,FCCoSp3,3.0,3.43,0.43
Ekaterina KURAKOVA,11,StSq3,3.3,3.96,0.66
Ekaterina KURAKOVA,12,LSp4,2.7,3.12,0.42
Ekaterina KURAKOVA,3,3T,4.2,4.56,0.36
Ekaterina KURAKOVA,5,CCoSp4V,2.63,2.97,0.34
Ekaterina KURAKOVA,6,ChSq1,3.0,3.64,0.64
Kaori SAKAMOTO,1,2A,3.3,4.81,1.51
Kaori SAKAMOTO,12,FCCoSp4,3.5,4.5,1.0
Kaori SAKAMOTO,2,3Lz,5.9,7.75,1.85
Kaori SAKAMOTO,3,2A+1Eu+3S,8.1,9.94,1.84
Kaori SAKAMOTO,4,CCoSp4,3.5,4.4,0.9
Kaori SAKAMOTO,5,3F+3T,9.5,11.32,1.82
Kaori SAKAMOTO,6,StSq3,3.3,4.53,1.23
Kaori SAKAMOTO,7,FSSp4,3.0,3.73,0.73
Kaori SAKAMOTO,9,ChSq1,3.0,4.86,1.86
Lara Naki GUTMANN,1,3Lz+1Eu+3S,10.7,12.3,1.6
Lara Naki GUTMANN,10,StSq2,2.6,3.19,0.59
Lara Naki GUTMANN,11,CSp4,2.6,3.16,0.56
Lara Naki GUTMANN,12,FCCoSp3,3.0,3.47,0.47
Lara Naki GUTMANN,2,3T+2A+SEQ,7.5,8.52,1.02
Lara Naki GUTMANN,3,2F,1.8,2.11,0.31
Lara Naki GUTMANN,4,3S+2T,5.6,6.28,0.68
Lara Naki GUTMANN,5,ChSq1,3.0,3.93,0.93
Lara Naki GUTMANN,7,CCoSp4,3.5,4.15,0.65
Lindsay THORNGREN,11,FCCoSp3,3.0,3.64,0.64
Lindsay THORNGREN,12,CCoSp4,3.5,4.8,1.3
Lindsay THORNGREN,2,3Lo,4.9,5.74,0.84
Lindsay THORNGREN,4,FSSp4,3.0,3.39,0.39
Lindsay THORNGREN,5,StSq2,2.6,3.12,0.52
Lindsay THORNGREN,8,ChSq1,3.0,4.36,1.36
Mone CHIBA,10,StSq3,3.3,4.29,0.99
Mone CHIBA,11,LSp4,2.7,3.78,1.08
Mone CHIBA,12,CCoSp4,3.5,4.7,1.2
Mone CHIBA,2,3S,4.3,5.28,0.98
Mone CHIBA,3,3Lo,4.9,6.02,1.12
Mone CHIBA,4,2A,3.3,4.01,0.71
Mone CHIBA,5,ChSq1,3.0,4.5,1.5
Mone CHIBA,6,FCCoSp4,3.5,4.2,0.7
Niina PETROKINA,1,2A+3T,7.5,8.46,0.96
Niina PETROKINA,10,CCoSp4,3.5,4.35,0.85
Niina PETROKINA,11,ChSq1,3.0,4.07,1.07
Niina PETROKINA,12,LSp4,2.7,3.24,0.54
Niina PETROKINA,2,3Lz,5.9,5.31,-0.59
Niina PETROKINA,5,FCCoSp4,3.5,4.1,0.6
Olga MIKUTINA,12,CCoSp3,3.0,3.51,0.51
Olga MIKUTINA,2,3F,5.3,6.36,1.06
Olga MIKUTINA,3,2Lo+2A+SEQ,5.0,5.42,0.42
Olga MIKUTINA,4,FCSp2,2.3,2.6,0.3
Olga MIKUTINA,5,ChSq1,3.0,4.0,1.0
Olga MIKUTINA,8,FCCoSp4,3.5,4.4,0.9
Olga MIKUTINA,9,StSq3,3.3,4.05,0.75
Seoyeong WI,10,StSq4,3.9,4.12,0.22
Seoyeong WI,11,FCCoSp3,3.0,3.21,0.21
Seoyeong WI,12,CCoSp1V,1.5,1.39,-0.11
Seoyeong WI,2,3F,5.3,5.83,0.53
Seoyeong WI,5,FCSp4,3.2,3.47,0.27
Seoyeong WI,6,ChSq1,3.0,3.64,0.64
Yelim KIM,1,3Lz+2T,7.2,8.13,0.93
Yelim KIM,10,SSp4,2.5,2.86,0.36
Yelim KIM,11,StSq3,3.3,4.1,0.8
Yelim KIM,12,CCoSp4,3.5,3.95,0.45
Yelim KIM,2,3Lo,4.9,5.88,0.98
Yelim KIM,4,3S,4.3,5.04,0.74
Yelim KIM,5,FCSp4,3.2,3.79,0.59
Yelim KIM,9,ChSq1,3.0,4.07,1.07
Yuna AOKI,10,ChSq1,3.0,4.64,1.64
Yuna AOKI,11,StSq4,3.9,5.13,1.23
Yuna AOKI,12,LSp4,2.7,3.51,0.81
Yuna AOKI,3,3S,4.3,5.22,0.92
Yuna AOKI,4,2A,3.3,4.1,0.8
Yuna AOKI,5,CCoSp4,3.5,4.05,0.55
Yuna AOKI,9,FCSp4,3.2,3.98,0.78
