Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
Kaori SAKAMOTO,Composition,9.0,9.75,9.5,9.25,9.5,9.25,9.5,9.5,9.5,9.43
Kaori SAKAMOTO,Presentation,9.25,9.75,9.5,9.75,9.5,9.5,9.75,9.5,9.5,9.57
Kaori SAKAMOTO,Skating Skills,9.5,9.75,9.25,9.5,9.75,9.5,9.5,9.75,9.25,9.54
Mone CHIBA,Composition,8.5,9.0,8.5,8.25,8.25,8.5,8.5,8.75,8.75,8.54
Mone CHIBA,Presentation,8.75,8.75,8.75,8.75,8.5,8.75,8.25,9.0,9.0,8.75
Mone CHIBA,Skating Skills,8.5,9.0,8.5,8.75,8.5,8.25,8.75,9.0,8.5,8.64
Bradie TENNELL,Composition,8.25,8.25,8.25,7.5,8.0,8.25,8.5,8.75,8.75,8.32
Bradie TENNELL,Presentation,7.75,8.25,8.25,8.25,8.25,8.25,8.5,8.5,8.0,8.25
Bradie TENNELL,Skating Skills,8.0,8.5,8.0,8.5,8.25,8.0,8.25,8.5,8.25,8.25
Alysa LIU,Composition,8.0,8.0,7.75,7.75,8.25,8.0,8.25,7.75,7.75,7.93
Alysa LIU,Presentation,7.75,8.5,8.0,8.5,8.25,8.0,8.5,8.25,8.25,8.25
Alysa LIU,Skating Skills,8.25,8.0,7.75,7.75,8.0,7.75,8.0,7.25,8.0,7.89
Yuna AOKI,Composition,8.75,8.5,8.25,8.25,8.0,8.5,8.25,8.5,8.75,8.43
Yuna AOKI,Presentation,9.0,8.25,8.25,8.5,8.25,8.25,7.75,8.25,8.75,8.36
Yuna AOKI,Skating Skills,8.5,8.75,8.25,8.75,8.0,8.25,8.0,7.75,8.5,8.32
Lara Naki GUTMANN,Composition,7.75,8.0,7.75,8.5,7.5,7.75,7.75,7.75,8.0,7.82
Lara Naki GUTMANN,Presentation,7.5,8.0,7.75,8.25,7.75,7.75,7.5,7.25,8.0,7.75
Lara Naki GUTMANN,Skating Skills,8.0,8.25,7.5,7.75,7.5,7.5,7.75,7.25,7.75,7.68
Lindsay THORNGREN,Composition,7.75,6.5,7.25,8.0,7.5,7.75,7.25,7.0,7.5,7.43
Lindsay THORNGREN,Presentation,7.25,7.0,7.25,7.75,7.25,7.5,6.5,6.75,7.25,7.18
Lindsay THORNGREN,Skating Skills,7.5,6.75,7.25,7.25,7.25,7.25,7.25,7.5,7.5,7.32
Niina PETROKINA,Composition,7.5,8.25,7.75,9.0,7.25,7.25,7.5,7.0,8.0,7.64
Niina PETROKINA,Presentation,7.25,8.0,7.5,8.5,7.0,7.5,7.0,7.5,7.5,7.46
Niina PETROKINA,Skating Skills,7.25,7.75,7.25,8.0,7.0,7.5,7.25,7.25,7.75,7.43
Seoyeong WI,Composition,7.25,7.5,7.5,6.5,7.25,7.25,6.25,6.0,7.0,7.0
Seoyeong WI,Presentation,6.75,7.25,7.25,5.75,7.0,7.5,5.5,5.75,6.75,6.64
Seoyeong WI,Skating Skills,7.25,8.25,7.5,7.5,7.25,7.25,7.0,5.75,7.0,7.25
Olga MIKUTINA,Composition,7.75,8.0,7.25,8.25,7.5,7.75,7.25,7.5,7.5,7.61
Olga MIKUTINA,Presentation,7.0,8.25,7.0,8.0,7.0,7.5,7.5,7.5,7.5,7.43
Olga MIKUTINA,Skating Skills,7.25,8.0,6.75,7.75,7.0,7.5,7.25,7.25,7.25,7.32
Yelim KIM,Composition,7.0,7.0,8.0,7.25,6.75,7.5,6.75,6.5,7.25,7.07
Yelim KIM,Presentation,6.75,6.75,7.5,7.75,6.25,7.25,6.25,6.25,7.5,6.89
Yelim KIM,Skating Skills,7.25,7.0,8.0,8.0,6.5,7.5,7.5,6.0,7.75,7.36
Ekaterina KURAKOVA,Composition,6.5,7.75,7.75,7.0,7.5,7.25,7.5,7.25,8.0,7.43
Ekaterina KURAKOVA,Presentation,6.25,7.75,7.25,7.75,7.0,7.75,7.5,7.25,7.75,7.46
Ekaterina KURAKOVA,Skating Skills,6.75,7.5,7.25,6.75,7.0,7.25,7.0,7.0,7.25,7.07
