Skater,Element #,Element,Base Value,Final Score,GOE
AYMOZ Kevin,1,3T,4.2,4.02,-0.18
AYMOZ Kevin,2,4T,9.5,8.415000000000001,-1.085
AYMOZ Kevin,3,3A+2A+SEQ,11.3,13.36,2.06
AYMOZ Kevin,3,4T+3T,13.7,15.74,2.04
AYMOZ Kevin,4,3Lo,4.9,4.41,-0.49
AYMOZ Kevin,4,4S,9.7,5.13,-4.57
AYMOZ Kevin,5,3A+2A+SEQ,11.3,11.19,-0.11
AYMOZ Kevin,5,FCCoSp4V,2.63,3.2,0.57
AYMOZ Kevin,6,3A,8.8,10.63,1.83
AYMOZ Kevin,6,StSq4,3.9,5.07,1.17
AYMOZ Kevin,7,3A+1Eu+3S,14.08,16.59,2.51
AYMOZ Kevin,7,StSq4,3.9,5.13,1.23
AYMOZ Kevin,8,3Lz+1Eu+2S,8.47,9.06,0.59
AYMOZ Kevin,9,3Lz,6.49,5.48,-1.01
AYMOZ Kevin,9,CCoSp4,3.5,4.5,1.0
AYMOZ Kevin,10,CCSp4,3.2,3.93,0.73
AYMOZ Kevin,10,FCCoSp4,3.5,4.3,0.8
AYMOZ Kevin,11,CCoSp4,3.5,4.2,0.7
AYMOZ Kevin,11,ChSq1,3.0,4.57,1.57
AYMOZ Kevin,12,CSSp3,2.6,3.27,0.67
AYMOZ Kevin,12,ChSq1,3.0,5.21,2.21
BRITSCHGI Lukas,1,4T+3T,13.7,14.92,1.22
BRITSCHGI Lukas,3,3A+2A+2A+SEQ,14.6,16.54,1.94
BRITSCHGI Lukas,4,3Lo,4.9,5.95,1.05
BRITSCHGI Lukas,5,CCoSp3,3.0,3.21,0.21
BRITSCHGI Lukas,6,CSSp4,3.0,3.21,0.21
BRITSCHGI Lukas,7,3A,8.8,10.86,2.06
BRITSCHGI Lukas,8,3Lz,6.49,4.72,-1.77
BRITSCHGI Lukas,10,StSq4,3.9,5.07,1.17
BRITSCHGI Lukas,11,FCCoSp4,3.5,4.0,0.5
BRITSCHGI Lukas,12,ChSq1,3.0,4.29,1.29
CARRILLO Donovan,2,4T,9.5,8.41,-1.09
CARRILLO Donovan,3,3A+2T,9.3,10.1,0.8
CARRILLO Donovan,4,ChSq1,3.0,3.86,0.86
CARRILLO Donovan,6,FCSp4,3.2,3.66,0.46
CARRILLO Donovan,9,1Lz,0.66,0.62,-0.04
CARRILLO Donovan,10,StSq3,3.3,3.91,0.61
CARRILLO Donovan,11,CSSp4,3.0,3.56,0.56
CARRILLO Donovan,12,CCoSp2,2.5,3.04,0.54
CHA Junhwan,1,4S,9.7,13.44,3.74
CHA Junhwan,3,3Lz+3Lo,10.8,12.57,1.77
CHA Junhwan,4,3A,8.0,10.06,2.06
CHA Junhwan,5,StSq4,3.9,5.4,1.5
CHA Junhwan,6,3F+1Eu+3S,11.11,12.62,1.51
CHA Junhwan,8,CCoSp3,3.0,3.9,0.9
CHA Junhwan,9,3F,5.83,7.12,1.29
CHA Junhwan,10,ChSq1,3.0,4.93,1.93
CHA Junhwan,11,FCSp4,3.2,3.98,0.78
CHA Junhwan,12,FCCoSp4,3.5,4.3,0.8
EGADZE Nika,2,4T,9.5,11.54,2.04
EGADZE Nika,3,4S+3T,13.9,15.56,1.66
EGADZE Nika,4,3A,8.0,9.14,1.14
EGADZE Nika,5,FCSp3,2.8,3.2,0.4
EGADZE Nika,6,4S+3T,15.29,17.51,2.22
EGADZE Nika,8,3Lz,6.49,7.67,1.18
EGADZE Nika,9,CSSp3,2.6,3.08,0.48
EGADZE Nika,10,StSq3,3.3,4.01,0.71
EGADZE Nika,11,ChSq1,3.0,4.0,1.0
EGADZE Nika,12,CCoSp2V,1.88,2.21,0.33
GOGOLEV Stephen,1,4S,9.7,12.61,2.91
GOGOLEV Stephen,2,4T,9.5,12.08,2.58
GOGOLEV Stephen,3,4S+3T,13.9,14.73,0.83
GOGOLEV Stephen,4,ChSq1,3.0,4.07,1.07
GOGOLEV Stephen,5,3A+1Eu+3S,12.8,14.51,1.71
GOGOLEV Stephen,6,CCoSp2,2.5,2.96,0.46
GOGOLEV Stephen,7,3F+3A+SEQ,14.63,16.46,1.83
GOGOLEV Stephen,8,3Lz,6.49,7.5,1.01
GOGOLEV Stephen,9,3Lo,5.39,5.04,-0.35
GOGOLEV Stephen,10,FCSp4,3.2,3.84,0.64
GOGOLEV Stephen,11,StSq4,3.9,5.07,1.17
GOGOLEV Stephen,12,FCCoSp4,3.5,4.35,0.85
GRASSL Daniel,2,4Lo,10.5,12.6,2.1
GRASSL Daniel,3,4S,9.7,12.06,2.36
GRASSL Daniel,5,ChSq1,3.0,4.21,1.21
GRASSL Daniel,6,3A+2A+2A+SEQ,16.06,17.89,1.83
GRASSL Daniel,7,3Lz,6.49,3.88,-2.61
GRASSL Daniel,8,CSSp3,2.6,3.01,0.41
GRASSL Daniel,9,StSq2,2.6,3.19,0.59
GRASSL Daniel,10,3Lo+2T,6.82,6.68,-0.14
GRASSL Daniel,11,CCoSp3V,2.25,2.73,0.48
GRASSL Daniel,12,FCCoSp3,3.0,3.51,0.51
GUMENNIK Petr,1,4F,11.0,13.51,2.51
GUMENNIK Petr,2,4Lz,11.5,14.13,2.63
GUMENNIK Petr,3,4Lo,10.5,12.75,2.25
GUMENNIK Petr,5,FCSp3,2.8,3.4,0.6
GUMENNIK Petr,6,StSq4,3.9,4.85,0.95
GUMENNIK Petr,10,FCCoSp4,3.5,3.95,0.45
GUMENNIK Petr,11,ChSq1,3.0,3.71,0.71
GUMENNIK Petr,12,CCoSp4,3.5,4.2,0.7
HAGARA Adam,5,CCoSp3,3.0,3.04,0.04
HAGARA Adam,6,StSq3,3.3,3.44,0.14
HAGARA Adam,7,3Lz+2A+2A+SEQ,13.75,14.68,0.93
HAGARA Adam,9,2Lo,1.87,1.85,-0.02
HAGARA Adam,10,FCCoSp3,3.0,2.57,-0.43
HAGARA Adam,11,ChSq1,3.0,3.29,0.29
HAGARA Adam,12,CSSp4,3.0,3.0,0.0
JIN Boyang,1,4T+2T,10.8,11.48,0.68
JIN Boyang,2,4T,9.5,6.38,-3.12
JIN Boyang,3,3A,8.0,9.26,1.26
JIN Boyang,4,FCSp4,3.2,3.75,0.55
JIN Boyang,6,3Lz+1Eu+2S,8.47,8.47,0.0
JIN Boyang,8,3Lo,5.39,5.39,0.0
JIN Boyang,9,ChSq1,3.0,3.79,0.79
JIN Boyang,10,CCoSp4V,2.63,3.16,0.53
JIN Boyang,11,StSq3,3.3,3.87,0.57
JIN Boyang,12,CSSp2,2.3,2.79,0.49
KAGIYAMA Yuma,1,4S,9.7,7.34,-2.36
KAGIYAMA Yuma,3,4T+1Eu+2S,11.3,11.98,0.68
KAGIYAMA Yuma,4,3A+2A+SEQ,11.3,13.36,2.06
KAGIYAMA Yuma,5,FCSSp4,3.0,3.77,0.77
KAGIYAMA Yuma,6,4T,10.45,8.01,-2.44
KAGIYAMA Yuma,7,3F+3Lo,11.22,12.05,0.83
KAGIYAMA Yuma,8,3A,8.8,11.2,2.4
KAGIYAMA Yuma,9,CCoSp4,3.5,4.6,1.1
KAGIYAMA Yuma,10,ChSq1,3.0,4.14,1.14
KAGIYAMA Yuma,11,StSq4,3.9,5.35,1.45
KAGIYAMA Yuma,12,FCCoSp4,3.5,4.85,1.35
LI Yu-Hsiang,1,3Lo,4.9,5.46,0.56
LI Yu-Hsiang,4,3F+2T,6.6,7.13,0.53
LI Yu-Hsiang,5,FCCoSp4,3.5,3.8,0.3
LI Yu-Hsiang,6,ChSq1,3.0,3.21,0.21
LI Yu-Hsiang,7,3F+2A+2A+SEQ,13.09,13.92,0.83
LI Yu-Hsiang,8,CCSp4,3.2,3.11,-0.09
LI Yu-Hsiang,9,3Lz+3T,11.11,11.87,0.76
LI Yu-Hsiang,10,3Lz,6.49,7.42,0.93
LI Yu-Hsiang,11,StSq2,2.6,2.82,0.22
LI Yu-Hsiang,12,CCoSp4,3.5,4.4,0.9
MALININ Ilia,1,4F,11.0,15.71,4.71
MALININ Ilia,2,1A,1.1,1.04,-0.06
MALININ Ilia,3,4Lz,11.5,15.61,4.11
MALININ Ilia,4,2Lo,1.7,1.77,0.07
