Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
SHAIDOROV Mikhail,Composition,8.25,8.0,8.5,8.0,8.5,8.75,8.25,8.75,8.0,8.32
SHAIDOROV Mikhail,Presentation,8.5,8.5,8.25,8.0,8.75,8.5,8.25,8.5,8.25,8.39
SHAIDOROV Mikhail,Skating Skills,8.5,8.75,8.5,8.25,8.75,8.5,8.0,8.25,8.75,8.5
GOGOLEV Stephen,Composition,8.5,8.25,7.25,8.25,8.5,8.25,8.5,8.25,8.75,8.36
GOGOLEV Stephen,Presentation,8.25,8.5,7.5,8.25,9.0,8.0,8.25,7.75,8.75,8.25
GOGOLEV Stephen,Skating Skills,8.5,8.5,7.5,8.0,8.5,8.5,8.25,8.25,8.5,8.36
SATO Shun,Composition,8.75,8.5,8.75,8.0,8.0,8.5,7.75,8.75,8.0,8.36
SATO Shun,Presentation,8.5,8.75,8.5,8.0,8.25,8.25,7.25,8.5,8.0,8.29
SATO Shun,Skating Skills,8.75,9.25,8.75,8.75,8.5,8.5,8.75,8.75,8.5,8.68
GUMENNIK Petr,Composition,8.25,8.25,7.5,8.5,8.0,7.75,8.0,8.5,8.5,8.18
GUMENNIK Petr,Presentation,8.25,8.0,7.25,8.25,7.75,7.5,7.75,8.5,8.5,8.0
GUMENNIK Petr,Skating Skills,8.0,8.0,7.5,8.25,8.0,8.25,7.5,8.25,8.75,8.04
CHA Junhwan,Composition,8.75,8.0,8.5,8.75,8.5,8.5,9.0,9.0,9.0,8.71
CHA Junhwan,Presentation,8.5,8.75,8.5,8.5,8.25,9.0,8.5,8.75,8.75,8.61
CHA Junhwan,Skating Skills,8.75,8.75,8.75,9.0,8.75,8.5,9.0,9.25,8.75,8.82
KAGIYAMA Yuma,Composition,8.75,8.5,9.25,8.75,8.5,8.5,8.75,8.75,8.75,8.68
KAGIYAMA Yuma,Presentation,8.0,8.25,9.25,8.5,8.5,8.25,8.0,8.75,8.5,8.39
KAGIYAMA Yuma,Skating Skills,8.5,8.5,9.25,8.75,8.75,8.75,8.75,8.75,8.75,8.71
EGADZE Nika,Composition,8.5,7.75,7.5,7.75,7.75,8.0,8.5,8.5,8.5,8.11
EGADZE Nika,Presentation,8.5,7.5,7.25,7.75,8.0,7.75,8.25,8.25,8.25,7.96
EGADZE Nika,Skating Skills,8.25,7.75,7.5,8.0,8.25,7.5,7.5,8.25,8.5,7.93
GRASSL Daniel,Composition,8.0,8.5,8.75,7.75,8.75,8.25,8.0,8.5,8.25,8.32
GRASSL Daniel,Presentation,8.0,8.25,8.5,7.75,8.5,8.0,8.0,8.25,8.0,8.14
GRASSL Daniel,Skating Skills,7.75,7.75,8.5,8.25,8.75,7.75,7.75,8.0,8.0,8.0
TORGASHEV Andrew,Composition,8.5,7.75,8.25,8.5,8.75,8.0,8.0,8.5,8.5,8.32
TORGASHEV Andrew,Presentation,8.75,8.0,8.5,8.5,8.5,8.5,8.0,8.75,8.75,8.5
TORGASHEV Andrew,Skating Skills,8.5,8.25,8.25,8.5,8.5,8.5,8.5,8.25,8.25,8.39
MIURA Kao,Composition,8.25,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
MIURA Kao,Presentation,8.0,7.5,8.0,7.75,7.5,7.5,7.0,7.5,7.5,7.61
MIURA Kao,Skating Skills,8.5,8.25,8.25,8.5,8.25,8.0,7.75,8.25,7.75,8.18
AYMOZ Kevin,Composition,8.625,8.625,8.625,8.75,8.625,8.375,8.375,8.625,8.5,8.71
AYMOZ Kevin,Presentation,8.25,8.125,8.625,8.25,8.375,8.625,8.0,8.125,8.375,8.57
AYMOZ Kevin,Skating Skills,8.375,8.5,8.625,8.5,8.5,8.375,8.375,8.25,8.125,8.5
BRITSCHGI Lukas,Composition,8.25,8.0,8.5,8.0,8.5,8.0,8.5,8.0,8.0,8.18
BRITSCHGI Lukas,Presentation,8.25,7.75,8.5,8.0,8.25,8.25,8.25,7.5,8.0,8.11
BRITSCHGI Lukas,Skating Skills,8.0,7.75,8.25,8.25,7.75,7.75,8.5,8.0,7.75,7.96
