Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
LIU Alysa,Composition,8.75,9.5,8.5,9.0,8.75,9.25,8.75,9.25,9.0,8.96
LIU Alysa,Presentation,9.25,9.5,8.75,9.5,9.0,9.5,9.25,9.5,9.25,9.32
LIU Alysa,Skating Skills,8.75,9.25,8.75,9.0,8.75,8.75,8.75,9.25,8.75,8.86
SAKAMOTO Kaori,Composition,9.25,9.75,9.0,9.5,9.0,9.0,9.0,9.5,9.25,9.21
SAKAMOTO Kaori,Presentation,9.5,9.75,8.75,9.5,9.25,9.25,9.25,9.75,9.5,9.43
SAKAMOTO Kaori,Skating Skills,9.5,9.5,9.25,9.75,9.25,9.25,9.5,9.5,9.25,9.39
GLENN Amber,Composition,8.25,8.75,8.0,8.5,8.5,7.75,8.5,8.5,8.75,8.43
GLENN Amber,Presentation,8.75,8.5,8.5,8.25,9.0,8.5,8.75,8.75,8.75,8.64
GLENN Amber,Skating Skills,8.5,8.75,8.25,8.5,8.75,8.75,8.5,8.75,9.0,8.64
CHIBA Mone,Composition,8.5,8.5,8.5,8.5,8.75,8.0,8.5,8.5,8.75,8.54
CHIBA Mone,Presentation,8.75,8.75,8.25,8.25,8.75,8.5,9.0,8.75,8.75,8.64
CHIBA Mone,Skating Skills,9.0,9.0,9.0,8.5,8.5,8.75,8.75,8.75,9.0,8.82
PETROSIAN Adeliia,Composition,8.5,7.75,8.5,8.25,8.25,7.25,8.0,8.25,8.25,8.18
PETROSIAN Adeliia,Presentation,8.5,8.75,8.75,8.0,8.0,8.0,8.25,8.5,8.5,8.36
PETROSIAN Adeliia,Skating Skills,8.0,8.5,8.5,8.0,7.75,7.75,8.0,8.0,8.25,8.07
PETROKINA Niina,Composition,8.25,8.25,8.5,8.0,8.25,8.25,8.5,8.5,8.75,8.36
PETROKINA Niina,Presentation,8.5,8.5,8.25,8.25,8.0,8.0,8.5,8.5,8.5,8.36
PETROKINA Niina,Skating Skills,8.25,8.0,7.75,8.25,8.0,8.25,8.25,8.0,8.25,8.14
SHIN Jia,Composition,8.25,8.0,7.75,8.25,8.25,8.0,8.25,8.5,8.0,8.14
SHIN Jia,Presentation,8.0,8.75,7.25,8.5,8.5,7.75,8.25,8.25,8.5,8.25
SHIN Jia,Skating Skills,8.25,8.5,8.25,8.5,8.5,8.25,8.0,8.25,8.25,8.32
LEE Haein,Composition,8.25,8.0,8.25,8.5,8.25,8.0,8.25,8.0,8.75,8.21
LEE Haein,Presentation,8.25,8.5,8.0,8.5,8.5,8.5,8.0,7.75,8.75,8.32
LEE Haein,Skating Skills,8.75,8.25,8.0,8.25,8.5,8.25,8.0,8.5,8.5,8.32
NAKAI Ami,Composition,8.5,8.0,8.25,8.5,8.25,8.0,8.25,8.25,8.5,8.29
NAKAI Ami,Presentation,8.5,8.5,8.5,8.75,8.75,8.25,8.5,8.5,8.5,8.54
NAKAI Ami,Skating Skills,9.0,8.25,8.75,8.75,8.5,8.75,8.5,8.25,8.75,8.61
SAMODELKINA Sofia,Composition,7.75,7.75,8.0,8.25,8.25,8.0,8.0,7.5,8.25,8.0
